name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Mikaela Shiffrin,Alpine Skiing,Burke Mountain Academy,Edwards,CO,31,3|1|0,2014|2018|2022|2026
Bryce Bennett,Alpine Skiing,Westminster College,Palisades Tahoe,CA,33,0|0|0,2018|2022|2026
Mary Bocock,Alpine Skiing,,Salt Lake City,UT,22,0|0|0,2026
Keely Cashman,Alpine Skiing,University of Utah,Strawberry,CA,27,0|0|0,2022|2026
David Chodounsky,Alpine Skiing,"Crested Butte Academy (Crested Butte, Colo.) '03; Dartmouth College '08, Engineering and Earth Sciences",Crested Butte,CO,41,0|0|0,2014|2018
Ryan Cochran-Siegle,Alpine Skiing,University of Vermont,Starksboro,VT,34,0|2|0,2018|2022|2026
Stacey Cook,Alpine Skiing,"University of Reno, Nevada; DeVry University",Mammoth Lakes,CA,41,0|0|0,2006|2010|2014
Sam Dupratt,Alpine Skiing,University of Utah,Salt Lake City,UT,32,0|0|0,
Mark Engel,Alpine Skiing,University of Utah '15,Truckee,CA,34,0|0|0,2018
Tommy Ford,Alpine Skiing,Dartmouth College '12,Bend,OR,37,0|0|0,2010|2018|2022
Gretchen Fraser,Alpine Skiing,,Tacoma,WA,75,1|1|0,1948
Travis Ganong,Alpine Skiing,Sierra Nevada University,Alpine Meadows,CA,37,0|0|0,2014|2022
Jared Goldberg,Alpine Skiing,University of Utah,Salt Lake City,UT,34,0|0|0,2014|2018
Katie Hensien,Alpine Skiing,"University of Denver, Computer Science and Business",Redmond,WA,26,0|0|0,2022|2026
AJ Hurt,Alpine Skiing,Dartmouth College,Carnelian Bay,CA,25,0|0|0,2022
Amelia Hurt,Alpine Skiing,,Carnelian Bay,CA,25,0|0|0,2022|2026
Tim Jitloff,Alpine Skiing,"Truckee High School (Truckee, Calif.) '03; University of Nevada, Reno",Reno,NV,41,0|0|0,2014|2018
Breezy Johnson,Alpine Skiing,Western Washington University,Jackson Hole,WY,30,1|0|0,2018|2026
Nolan Kasper,Alpine Skiing,"Burke Mountain Academy (Burke, Vt.) '07; Dartmouth College '17, Economics",Warren,VT,37,0|0|0,2010|2014|2018
Storm Klomhaus,Alpine Skiing,"University of Denver, Biochemistry and Pre-Medicine",Boulder,CO,27,0|0|0,
Ted Ligety,Alpine Skiing,"The Winter Sports School (Park City, Utah) '02",Park City,UT,41,2|0|0,2006|2010|2014|2018
Phil Mahre,Alpine Skiing,Naches High School (Naches, Wash.),Yakima,WA,69,1|1|0,1976|1980|1984
Julia Mancuso,Alpine Skiing,"The Winter Sports School (Park City, Utah) '00",Palisades Tahoe,CA,42,1|2|1,2002|2006|2010|2014
Tricia Mangan,Alpine Skiing,"Nardin Academy '15; Dartmouth College, Engineering",Buffalo,NY,29,0|0|0,2018|2022
Wiley Maple,Alpine Skiing,"Aspen High School (Aspen, Colo.) '08; Westminster College, Philosophy",Aspen,CO,35,0|0|0,2018
Megan McJames,Alpine Skiing,Westminster College,Park City,UT,38,0|0|0,2010|2014|2018
Alice McKennis,Alpine Skiing,"Utah State University; DeVry University",New Castle,CO,36,0|0|0,2010|2018
Alice Merryweather,Alpine Skiing,Dartmouth College,Hingham,MA,29,0|0|0,2018
Bode Miller,Alpine Skiing,Carrabassett Valley Academy (Carrabassett Valley, Maine),Franconia,NH,48,1|3|2,1998|2002|2006|2010|2014
Paula Moltzan,Alpine Skiing,University of Vermont,Lakeville,MN,32,0|0|1,2022|2026
Sam Morse,Alpine Skiing,"Carrabassett Valley Academy 2013; Dartmouth College",Carrabassett Valley,ME,29,0|0|0,2026
Kyle Negomir,Alpine Skiing,Dartmouth College,Littleton,CO,27,0|0|0,2026
Steven Nyman,Alpine Skiing,"Orem High School (Orem, Utah) '00; University of Utah",Sundance,UT,44,0|0|0,2006|2010|2014
Nina O'Brien,Alpine Skiing,"Burke Mountain Academy; Dartmouth College",San Francisco,CA,28,0|0|0,2022|2026
River Radamus,Alpine Skiing,TEAM Academy,Edwards,CO,28,0|0|0,2022|2026
Laurenne Ross,Alpine Skiing,"Klamath Union High School (Klamath Falls, Ore.) '06; University of Oregon",Bend,OR,37,0|0|0,2014|2018
Ryder Sarchett,Alpine Skiing,,Ketchum,ID,22,0|0|0,2026
Resi Stiegler,Alpine Skiing,Winter Sports School (Park City, Utah),Jackson Hole,WY,40,0|0|0,2006|2014|2018
Picabo Street,Alpine Skiing,Rowland Hall-St. Mark’s School (Salt Lake City, Utah),Park City,UT,55,1|1|0,1994|1998|2002
Lindsey Vonn,Alpine Skiing,University of Missouri High School (online),Vail,CO,41,1|0|2,2002|2006|2010|2018|2026
Andrew Weibrecht,Alpine Skiing,"The Winter Sports School (Park City, Utah) '03; Dartmouth College '15, Earth Sciences",Lake Placid,NY,40,0|1|1,2010|2014|2018
Jackie Wiles,Alpine Skiing,Utah Valley University,Aurora,OR,33,0|0|1,2014|2022|2026
Alix Wilkinson,Alpine Skiing,Texas Tech University K-12 '19,Mammoth Lakes,CA,25,0|0|0,2022
Luke Winters,Alpine Skiing,Sugar Bowl Academy,Gresham,OR,29,0|0|0,2022
Isabella Wright,Alpine Skiing,,Salt Lake City,UT,29,0|0|0,2022|2026
