name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Mackenzie Brown,Archery,Home schooled,Flint,TX,31,0|0|0,2016|2020
Brady Ellison,Archery,GED while living at Chula Vista OTC,Billings,MT,37,0|3|2,2008|2012|2016|2020|2024
Catalina GNoriega,Archery,,San Diego,CA,23,0|0|0,2024
Zach Garrett,Archery,"Wellington-Napoleon High School, Wellington, MO",Wellington,MO,31,0|1|0,2016
Jake Kaminski,Archery,"Valley High School (San Francisco, Calif.) '06",Gainesville,FL,37,0|2|0,2012|2016
Casey Kaufhold,Archery,"Conestoga Valley High School (Lancaster, Pa.)",Lancaster,PA,22,0|0|1,2020|2024
Khatuna Lorig,Archery,Physical and Sport Institute,West Hollywood,CA,52,0|0|1,1992|1996|2000|2008|2012
Jennifer Mucino-Fernandez,Archery,,Boston,MA,23,0|0|0,2020|2024
Hye Youn Park,Archery,,CA,CA,49,0|0|0,
Jack Williams,Archery,Woodbridge High School,Chula Vista,CA,26,0|0|0,2020
Jacob Wukie,Archery,James Madison University '09,Fremont,OH,39,0|1|0,2012|2020
