name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Brooke Abel,Artistic Swimming,,Fallbrook,,38,0|0|0,2008
Anita Alvarez,Artistic Swimming,U.S. Performance Academy,Buffalo,NY,29,0|1|0,2016|2020|2024
Carrie Barton-Garten,Artistic Swimming,,,,0|0|0,2000
Janet Culp,Artistic Swimming,,San Jose,,44,0|0|0,2008
Jaime Czarkowski,Artistic Swimming,Western Canada High School,Calgary,CA,22,0|1|0,2024
Megumi Field,Artistic Swimming,Laurel Springs,Wilmington,DE,20,0|1|0,2024
Kate Hooven,Artistic Swimming,The Ohio State University,Pleasanton,,41,0|0|0,2008
Keana Hunter,Artistic Swimming,Issaquah High School; Bellevue College,Seattle,WA,22,0|1|0,2024
Christina Jones,Artistic Swimming,De Anza College,Fremont,,38,0|0|0,2008
Mary Killman,Artistic Swimming,Lindenwood University,McKinney,,35,0|0|0,2012
Rebekah Kim,Artistic Swimming,The Ohio State University,Mentor,,41,0|0|0,2008
Mariya Koroleva,Artistic Swimming,"Las Lomas High School; Stanford University, Communications '13",Concord,CA,36,0|0|0,2012|2016
Audrey Kwon,Artistic Swimming,,Seattle,WA,19,0|1|0,2024
Calista Liu,Artistic Swimming,Connections Academy CA,Fullerton,CA,20,0|1|0,2024
Jacklyn Luu,Artistic Swimming,Stanford University,Milipitas,CA,27,0|1|0,2024
Stephanie Nesbitt,Artistic Swimming,University of Phoenix,Riverside,,40,0|0|1,2004
Barbara Nesbitt,Artistic Swimming,The Ohio State University,Riverside,,40,0|0|0,
Andrea Nott,Artistic Swimming,,San Jose,,44,0|0|0,2008
Annabelle Orme,Artistic Swimming,Academy of Art University,Walnut Creek,,39,0|0|0,2008
Jill Penner,Artistic Swimming,,Seattle,,38,0|0|0,2008
Kim Probst,Artistic Swimming,,Troy,,45,0|0|0,2008
Daniella Ramirez,Artistic Swimming,Florida Virtual School,Miami,FL,24,0|1|0,2024
Ruby Remati,Artistic Swimming,Ohio State University '26,Andover,MA,23,0|1|0,2024
Lindi Schroeder,Artistic Swimming,Stanford University,Andover,MA,24,0|0|0,2020
