name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Phillip Chew,Badminton,University of California--Irvine,Orange,CA,31,0|0|0,2016|2020
Ryan Chew,Badminton,University of California--Irvine,Orange,CA,29,0|0|0,2020
Vinson Chiu,Badminton,,Milpitas,CA,27,0|0|0,2024
Jennie Gai,Badminton,,Fremont,CA,25,0|0|0,2024
Timothy Lam,Badminton,Cal Poly Pomona (2018),Mountain View,CA,28,0|0|0,2020
Eva Lee,Badminton,University of California--Irvine,Diamond Bar,CA,39,0|0|0,2008|2016
Khan "Bob" Malaythong,Badminton,,Rockville,,45,0|0|0,2008
Paula Lynn Obanana,Badminton,La Salle University,Minneapolis-St. Paul,MN,41,0|0|0,2016
Sattawat Pongnairat,Badminton,,Bangkok,,36,0|0|0,2016
Howard Shu,Badminton,University of California--Los Angeles,Orange County,CA,35,0|0|0,2016|2024
Jamie Subandhi,Badminton,Charles R. Drew University of Medicine and Science,Westminster,CA,36,0|0|0,2016
Rena Wang,Badminton,"Arcadia High School; UCLA, Biology",Arcadia,,34,0|0|0,2012
Iris Wang,Badminton,University of California--Los Angeles,Arcadia,CA,31,0|0|0,2016
Annie Xu,Badminton,"University of California, Berkeley",San Jose,CA,26,0|0|0,2024
Kerry Xu,Badminton,"University of California, Berkeley",San Jose,CA,26,0|0|0,2024
Joshua Yuan,Badminton,,San Mateo,CA,22,0|0|0,2024
Beiwen Zhang,Badminton,,Las Vegas,NV,35,0|0|0,2020|2024
