name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Stephen Curry,Basketball,"Davidson College (Davidson, N.C.)",Akron,OH,38,1|0|0,2024
Bam Adebayo,Basketball,University of Kentucky,Newark,NJ,28,2|0|0,2020|2024
Carmelo Anthony,Basketball,"Oak Hill Academy (Mouth of Wilson, Va.) '02; Syracuse University",New York,NY,41,3|0|1,2004|2008|2012|2016
Ariel Atkins,Basketball,University of Texas,Dallas,TX,29,1|0|0,2020
Seimone Augustus,Basketball,"Capitol High School (Baton Rouge, La.) '02; Louisiana State University '05, General Studies",Baton Rouge,LA,42,3|0|0,2008|2012|2016
Harrison Barnes,Basketball,"Ames High School (Ames, Iowa) '10; University of North Carolina",Ames,IA,33,1|0|0,2016
Sue Bird,Basketball,"Christ The King High School (Queens, N.Y.) '98; University of Connecticut '02, Communication Sciences",Syosset,NY,45,5|0|0,2004|2008|2012|2016|2020
Dudley Blackwell,Basketball,"Westminster Academy (Fort Lauderdale, Fla.) '20",Fort Lauderdale,FL,24,0|0|0,
Devin Booker,Basketball,University of Kentucky,Grand Rapids,MI,29,2|0|0,2020|2024
Briyona Canty,Basketball,Trenton Catholic Academy (2011),Willingboro,NJ,33,0|0|0,
Tamika Catchings,Basketball,"Duncanville High School (Duncanville, Texas) '97; University of Tennessee '01, Sport Studies",Duncanville,TX,46,4|0|0,2004|2008|2012|2016
Tina Charles,Basketball,University of Connecticut,Jamaica,NY,37,3|0|0,2012|2016|2020
Napheesa Collier,Basketball,University of Connecticut,St. Charles,MO,29,2|0|0,2020|2024
Kahleah Copper,Basketball,Rutgers University,Philladelphia,PA,31,1|0|0,2024
DeMarcus Cousins,Basketball,"Leflore Magnet High School (Mobile, Ala) '09; University of Kentucky",Mobile,AL,35,1|0|0,2016
Jyare Davis,Basketball,"Sanford School (Hockessin, Del.) '20",Newark,DE,24,0|0|0,
Anthony Davis,Basketball,University of Kentucky,Chicago,IL,33,2|0|0,2012|2024
DeMar DeRozan,Basketball,"Compton High School (Compton, Calif.) '08; University of Southern California",Compton,CA,36,1|0|0,2016
Elena Delle Donne,Basketball,"Ursuline Academy (Wilmington, Del.) '07; University of Delaware '13, Early Childhood Education",Wilmington,DE,36,1|0|0,2016
Skylar Diggins-Smith,Basketball,University of Notre Dame,South Bend,IN,35,1|0|0,2020
Stefanie Dolson,Basketball,University of Connecticut,Port Jervis,NY,34,1|0|0,2020
Kevin Durant,Basketball,University of Texas,Washington D.C.,MD,37,4|0|0,2012|2016|2020|2024
Anthony Edwards,Basketball,University of Georgia,Atlanta,GA,24,1|0|0,2024
Teresa Edwards,Basketball,"Cairo High School (Cairo, Ga.); University of Georgia",Cairo,GA,61,4|0|1,1984|1988|1992|1996|2000
Joel Embiid,Basketball,University of Kansas,Monteverde,FL,32,1|0|0,2024
Sylvia Fowles,Basketball,"Gulliver Preparatory (Coral Gables, Fla.) '04; Louisiana State University '08, General Studies",Miami,FL,40,4|0|0,2008|2012|2016|2020
Jimmer Fredette,Basketball,Brigham Young University,Glens Falls,NY,37,0|0|0,2024
Paul George,Basketball,"Knight High School (Palmdale, Calif.) '08; Fresno State University",Palmdale,CA,36,1|0|0,2016
Jerami Grant,Basketball,"DeMatha High School (Hyattsville, Md.) '12; Syracuse University",Portland,OR,32,1|0|0,2020
Allisha Gray,Basketball,"Washington County High School (Sandersville, Ga.); University of South Carolina '17",Sandersville,GA,31,1|0|0,2020
Chelsea Gray,Basketball,Duke University,Hayward,CA,33,2|0|0,2020|2024
Draymond Green,Basketball,"Saginaw High School (Saginaw, Mich.) '08; Michigan State University '12, Communications",Saginaw,MI,36,2|0|0,2016|2020
Brittney Griner,Basketball,Baylor University,Houston,TX,35,3|0|0,2016|2020|2024
Tyrese Haliburton,Basketball,Iowa State University,Oshkosh,WI,26,1|0|0,2024
James Harden,Basketball,Arizona State University,Oklahoma City,,36,1|0|0,2012
Amber Henson,Basketball,,,,0|0|0,
Jrue Holiday,Basketball,"University of California, Los Angeles (UCLA)",Los Angeles,CA,35,2|0|0,2020|2024
Sabrina Ionescu,Basketball,University of Oregon,Walnut Creek,CA,28,1|0|0,2024
Kyrie Irving,Basketball,"St. Patrick High School (Elizabeth, N.J.) '10; Duke University",West Orange,NJ,34,1|0|0,2016
LeBron James,Basketball,St. Vincent-St. Mary High School (Ohio),Akron,OH,41,3|0|1,2004|2008|2012|2024
Keldon Johnson,Basketball,"Oak Hill Academy (Mouth of Wilson, Virginia) '18; University of Kentucky",Sterling,VA,26,1|0|0,2020
DeAndre Jordan,Basketball,"Christian Life Center Academy (Humble, Texas) '07; Texas A&M University",Houston,TX,37,1|0|0,2016
Zach LaVine,Basketball,"Bothell High School (Bothell, Wash.) '13; University of California, Los Angeles",Renton,WA,31,1|0|0,2020
Kara Lawson,Basketball,Tennessee,Alexandria,VA,45,1|0|0,2008
Lisa Leslie,Basketball,"Morningside High School; University of Southern California",Inglewood,CA,53,4|0|0,1996|2000|2004|2008
Damian Lillard,Basketball,"Oakland High School (Oakland, Calif.) '08; Weber State University '12, Technical Sales",Oakland,CA,35,1|0|0,2020
Kevin Love,Basketball,"University of California, Los Angeles",Santa Monica,CA,37,1|0|0,2012
Kyle Lowry,Basketball,"Cardinal Dougherty High School (Philadelphia, Pa.) '04; Villanova University",Philadelphia,PA,40,1|0|0,2016
Jewell Loyd,Basketball,University of Notre Dame,Lincolnwood,IL,32,2|0|0,2020|2024
Kareem Maddox,Basketball,Princeton,Los Angeles,CA,36,0|0|0,2024
Pat McCaffery,Basketball,"Iowa City West High School (Iowa City, Iowa) '19; University of Iowa",North Liberty,IA,26,0|0|0,
Carson McCorkle,Basketball,"Greensboro Day School (Greensboro, N.C.) '21",Raleigh,NC,24,0|0|0,
Angel McCoughtry,Basketball,"Patterson Preparatory School (Lenoir, N.C.) '05; University of Louisville '09, Communications",Baltimore,MD,39,2|0|0,2012|2016
JaVale McGee,Basketball,"Detroit Country Day High School (Beverly Hills, Michigan); Providence Christian High School (Fremont, Michigan); Hales Franciscan High School (Chicago, Illinois); University of Nevada '08",Flint,MI,38,1|0|0,2020
Khris Middleton,Basketball,"Porter-Gaud School (Charleston, S.C.) '09; Texas A&M University",Charleston,SC,34,1|0|0,2020
Maya Moore,Basketball,"Collins Hill High School (Suwannee, Ga.) '07; University of Connecticut '11, Independent Studies",Lawrenceville,GA,36,2|0|0,2012|2016
Candace Parker,Basketball,University of Tennessee,Los Angeles,,40,2|0|0,2008|2012
Kelsey Plum,Basketball,University of Washington,Poway,CA,31,2|0|0,2020|2024
Breanna Stewart,Basketball,University of Connecticut,North Syracuse,NY,31,3|0|0,2016|2020|2024
Jayson Tatum,Basketball,Duke University,St. Louis,MO,28,2|0|0,2020|2024
Diana Taurasi,Basketball,University of Connecticut '04,Chino,CA,43,6|0|0,2004|2008|2012|2016|2020|2024
Alyssa Thomas,Basketball,University of Maryland,Harrisburg,PA,34,1|0|0,2024
Tina Thompson,Basketball,University of Southern California '97,Inglewood,,51,2|0|0,2004|2008
Klay Thompson,Basketball,"Santa Margarita Catholic (Rancho Santa Margarita, California) '08; Washington State University",Los Angeles,CA,36,1|0|0,2016
Dylan Travis,Basketball,Florida Southern College,Omaha,NE,32,0|0|0,2024
Russell Westbrook,Basketball,UCLA,Oklahoma City,,37,1|0|0,2012
Lindsay Whalen,Basketball,"Hutchinson High School (Hutchinson, Minn.) '00; University of Minnesota '04, Sports Management",Hutchinson,MN,44,2|0|0,2012|2016
Derrick White,Basketball,"University of Colorado, Colorado Springs '15; University of Colorado, Boulder '17",Parker,CO,31,1|0|0,2024
A'ja Wilson,Basketball,University of South Carolina '18,Columbia,SC,29,2|0|0,2020|2024
Jackie Young,Basketball,Princeton Community High School; University of Notre Dame,Princeton,IN,28,2|0|0,2020|2024
