name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Andy Benesh,Beach Volleyball,USC '17,Rancho Palos Verdes,CA,31,0|0|0,2024
Chase Budinger,"Volleyball, Beach Volleyball",University of Arizona,Encinitas,CA,37,0|0|0,2024
Kelly Cheng,Beach Volleyball,"El Dorado High School (Placentia, Calif.); University of Southern California '17, Sociology",Fullerton,CA,30,0|0|0,2020|2024
Sara Hughes,Beach Volleyball,University of Southern California,Costa Mesa,CA,31,0|0|0,2024
Karch Kiraly,"Beach Volleyball, Volleyball","Santa Barbara High School (Santa Barbara, Calif.); UCLA",Santa Barbara,CA,65,3|0|0,1984|1988|1996
Alix Klineman,Beach Volleyball,Stanford University,Torrance,CA,36,1|0|0,2020
Taryn Kloth,"Track and Field, Beach Volleyball",Louisiana State University '21,Sioux Falls,SD,29,0|0|0,2024
Misty May-Treanor,Beach Volleyball,"Newport Harbor High School; Long Beach State; Concordia University",Los Angeles,CA,48,3|0|0,2000|2004|2008|2012
Kristen Nuss,"Volleyball, Beach Volleyball",Louisiana State University,New Orleans,LA,,0|0|0,2024
Miles Partain,Beach Volleyball,UCLA,Pacific Palisades,CA,24,0|0|0,2024
April Ross,Beach Volleyball,University of Southern California,Costa Mesa,CA,43,1|1|1,2012|2016|2020
