name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Lucinda Anderson,Biathlon,University of New Hampshire '24,Golden Valley,MN,25,0|0|0,2026
Lowell Bailey,Biathlon,University of Vermont '05,Lake Placid,NY,44,0|0|0,2006|2010|2014|2018
Jake Brown,Biathlon,Saint Olaf,Saint Paul,MN,34,0|0|0,2022
Tim Burke,Biathlon,Saranac Lake High School,Lake Placid,NY,44,0|0|0,2006|2010|2014|2018
Annelies Cook,Biathlon,"University of Utah, International Studies",Saranac Lake,,41,0|0|0,2014
Russell Currier,Biathlon,,Stockholm,ME,38,0|0|0,2014
Sean Doherty,Biathlon,,Center Conway,NH,30,0|0|0,2014|2018|2022|2026
Hannah Dreissigacker,Biathlon,"Peoples Academy, Morrisville, VT; Dartmouth College 2009, Engineering modified with Studio Art",Morrisville,VT,39,0|0|0,2014
Emily Dreissigacker,Biathlon,"Peoples Academy '07; Dartmouth '11, Economics",Morrisville,VT,37,0|0|0,2018
Susan Dunklee,Biathlon,Dartmouth,Craftsbury,VT,40,0|0|0,2014|2018|2022
Clare Egan,Biathlon,UNH,Cape Elizabeth,ME,38,0|0|0,2018|2022
Maxime Germain,Biathlon,West Anchorage High School '19,Juneau,AK,24,0|0|0,2026
Deedra Irwin,Biathlon,Michigan Tech,Pulaski,WI,33,0|0|0,2022|2026
Leif Nordgren,Biathlon,Forest Lake High School,Hinesburg,VT,36,0|0|0,2014|2018|2022
Maddie Phaneuf,Biathlon,"Town of Webb UFSD '13",Old Forge,NY,31,0|0|0,2018
Joanne Reid,Biathlon,University of Colorado,Palo Alto,CA,33,0|0|0,2018|2022|2026
Paul Schommer,Biathlon,The College of St. Scholastica '15-BS Chemistry,Appleton,WI,33,0|0|0,2022|2026
Sara Studebaker,Biathlon,"Boise High School; Dartmouth College; Keller Graduate School of Management",Boise,,41,0|0|0,2010|2014
Campbell Wright,Biathlon,,Wanaka,,23,0|0|0,2022|2026
