name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Claressa Shields,Boxing,Flint Northwestern High School,Flint,MI,31,2|0|0,2012|2016
Muhammad Ali,Boxing,"Louisville Central High School (Louisiana, Ky.)",Louisville,KY,74,1|0|0,1960
Carlos Balderas,Boxing,,Santa Maria,,29,0|0|0,2016
Dante Benjamin,Boxing,,Shaker Heights,OH,23,0|0|0,
Nashay Bradford,Boxing,,Toledo,,25,0|0|0,
Sa'Rai Brown-El,Boxing,,Marietta,GA,20,0|0|0,
Bruce Carrington,Boxing,,Brooklyn,NY,29,0|0|0,
Briana Che,Boxing,,Madison,WI,36,0|0|0,
Ralph Clemente,Boxing,,,,0|0|0,
Khalil Coe,Boxing,,,,29,0|0|0,
Charles Conwell,Boxing,Cleveland Heights High School,Cleveland,OH,28,0|0|0,2016
Orville Crooks,Boxing,,New York,NY,31,0|0|0,
Keyshawn Davis,Boxing,,Norfolk,VA,27,0|1|0,2020
Oscar De La Hoya,Boxing,"James A. Garfield High School (Los Angeles, Calif.)",Los Angeles,CA,53,1|0|0,1992
Joshua Edwards,Boxing,,Houston,TX,26,0|0|0,2024
Rashida Ellis,Boxing,,Lynn,MA,30,0|0|0,2020
Marlen Esparza,Boxing,DeVry University,Houston,TX,36,0|0|1,2012
Jasmin Fernandez,Boxing,,Splendora,,0|0|0,
George Foreman,Boxing,,Marshall,TX,76,1|0|0,1968
Joe Frazier,Boxing,,Beaufort,SC,67,1|0|0,1964
Virginia Fuchs,Boxing,LSU,Houston,TX,38,0|0|0,2020
Darius Fulghum,Boxing,Prairie View A&M University,Houston,TX,29,0|0|0,
Joricksen Galiza,Boxing,,Oahu,,24,0|0|0,
Kasir Goldston,Boxing,,Albany,NY,23,0|0|0,
Esmeralda Gonzalez,Boxing,,Dallas,TX,24,0|0|0,
Jajaira Gonzalez,Boxing,,Glendora,CA,29,0|0|0,2024
Felix Gonzalez Jr,Boxing,,Midlothian,,25,0|0|0,
Naomi Graham,Boxing,,Fayetteville,NC,36,0|0|0,2020
Lupe Gutierrez,Boxing,,Sacramento,CA,28,0|0|1,2020
Jahmal Harvey,Boxing,,Oxon Hill,MD,23,0|0|0,2024
Nico Hernandez,Boxing,,Wichita,KS,30,0|0|1,2016
Anthony Herrera,Boxing,,East Los Angeles,CA,25,0|0|0,
Joseph Hicks,Boxing,,Lansing,MI,32,0|0|0,
Roscoe Hill,Boxing,,Springs,TX,31,0|0|0,2024
Joel Iriarte,Boxing,,Bakersfield,CA,23,0|0|0,
Arjan Iseni,Boxing,,Staten Island,NY,23,0|0|0,
Troy Isley,Boxing,,Alexandria,VA,27,0|0|0,2020
Delante Johnson,Boxing,,Cleveland,OH,27,0|0|0,2020
Oshae Jones,Boxing,,Toledo,OH,28,0|0|1,2020
Omari Jones,Boxing,"Valencia College, Florida",Orlando,FL,23,0|0|1,2024
Sugar Ray Leonard,Boxing,,Palmer Park,MD,69,1|0|0,1976
Jennifer Lozano,Boxing,,Laredo,TX,23,0|0|0,2024
Jonathan Mansour,Boxing,,San Diego,CA,25,0|0|0,
Mikaela Mayer,Boxing,Northern Michigan University,Los Angeles,CA,35,0|0|0,2016
Morelle McCane,Boxing,Cuyahoga Community College,Cleveland,OH,31,0|0|0,2024
Andrea Medina,Boxing,San Diego State University,San Diego,CA,26,0|0|0,
Alyssa Mendoza,Boxing,,Caldwell,ID,22,0|0|0,2024
Marlo Moore,Boxing,Cal State Easy Bay,Richmond,CA,35,0|0|0,
Amelia Moore,Boxing,United States Naval Academy,Colorado Springs,CO,36,0|0|0,
Citlalli Ortiz,Boxing,,Coachella,CA,26,0|0|0,2024
Floyd Patterson,Boxing,,Waco,NC,71,1|0|0,1952
Cam'ron Patton,Boxing,,Paris,TN,21,0|0|0,
Cornellio Phipps,Boxing,,Oxford,PA,20,0|0|0,
Caleb Plant,Boxing,,Ashland City,,33,0|0|0,
Duke Ragan,Boxing,,Cincinnati,OH,28,0|1|0,2020
Yarisel Ramirez,Boxing,Abilene Christian University,Las Vegas,NV,26,0|0|0,2020
Jewry Rodriguez,Boxing,,Houston,TX,23,0|0|0,
Nicholas Scaturchio,Boxing,,Hartsdale,,28,0|0|0,
Shakur Stevenson,Boxing,,Newark,NJ,28,0|1|0,2016
Reina Tellez,Boxing,,Fellsmere,FL,23,0|0|0,
Richard Torrez Jr.,Boxing,,Tulare,CA,26,0|1|0,2020
Antonio Vargas,Boxing,,Kissimmee,,29,0|0|0,2016
Iyana Verduzco,Boxing,,Los Angeles,CA,24,0|0|0,
Denton Yates,Boxing,,Toledo,,24,0|0|0,
