name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Lisa Adams,Canoe/Kayak,Trinity University-San Antonio,Durango,CO,,0|0|0,
Chris Barlow,Canoe/Kayak,University of London (GBR),San Diego,CA,64,0|0|0,1992
Greg Barton,Canoe/Kayak,University of Michigan,,,66,2|0|2,1984|1988|1992
Emmanuel Beauchard,Canoe/Kayak,,Lyon,,33,0|0|0,
Norman Bellingham,Canoe/Kayak,Harvard University,Rockville,MD,61,1|0|0,1984|1988|1992
Dana Chladek,Canoe/Kayak,Dartmouth College,,,62,0|1|1,1992|1996
Michaela Corcoran,Canoe/Kayak,"Holton-Arms High School (Bethesda, Md.) '20",Bethesda,MD,23,0|0|0,2024
Jonas Ecker,Canoe/Kayak,University of Washington,Bellingham,WA,23,0|0|0,2024
Casey Eichfeld,Canoe/Kayak,,Drums,PA,36,0|0|0,2008|2012|2016|2024
Benn Fraker,Canoe/Kayak,Georgia State University,Peachtree City,GA,37,0|0|0,2008
Nevin Harrison,Canoe/Kayak,Roosevelt High School,Seattle,WA,23,1|1|0,2020|2024
David Hearn,Canoe/Kayak,"University of Massachusetts, Amherst",Bethesda,MD,67,0|0|0,1992|1996|2000
Cathy Hearn,Canoe/Kayak,Hampshire College,Bethesda,MD,67,0|0|0,1992|1996
Zoe Hein,Canoe/Kayak,The Bishop's School (La Jolla, Calif.),La Jolla,CA,22,0|0|0,
Brett Heyl,Canoe/Kayak,"University of North Carolina, Chapel Hill",Charlotte,NC,44,0|0|0,2004
Maggie Hogan,Canoe/Kayak,UC Santa Barbara,Huntington Beach,CA,47,0|0|0,2016
Tim Hornsby,Canoe/Kayak,University of California-San Diego,Atlanta,GA,39,0|0|0,2012
Carrie Johnson,Canoe/Kayak,University of California-San Diego,San Diego,,42,0|0|0,2004|2008|2012
Teagan Johnson-Moore,Canoe/Kayak,Lyons Middle Senior High School,Lyons,CO,27,0|0|0,
Fabien Lefevre,Canoe/Kayak,,Bethesda,MD,43,0|1|1,2004|2008
Evy Leibfarth,Canoe/Kayak,Davidson College '25,Bryson City,NC,22,0|0|1,2020|2024
Zachary Lokken,Canoe/Kayak,"Central Piedmont Community College '20, Associate of Science",Durango,CO,32,0|0|0,2020
Jordan Malloch,Canoe/Kayak,University of Washington,Seattle,WA,47,0|0|0,2000|2004
Devin McEwan,Canoe/Kayak,,Salisbury,CT,41,0|0|0,2016
Tom Murn,Canoe/Kayak,,Fairpoint,NY,30,0|0|0,
Ashley Nee,Canoe/Kayak,Northwest High School; University of Maryland,Darnestown,MD,36,0|0|0,2016
Peter Newton,Canoe/Kayak,,Bellevue,WA,55,0|0|0,1992|1996|2000
Rick Powell,Canoe/Kayak,Belmont Abbey College,Parkesburg,PA,37,0|0|0,2008
Aaron Small,Canoe/Kayak,University of Washington,Seattle,WA,24,0|0|0,2024
Jeffrey Smoke,Canoe/Kayak,University of Notre Dame,South Bend,,48,0|0|0,2004
Michal Smolen,Canoe/Kayak,"DeVry University '22, Business Communications",Charlotte,NC,32,0|0|0,2016|2020
Jim Terrell,Canoe/Kayak,,Newport Beach,CA,61,0|0|0,1988|1992|1996
Krisztina Zur,Canoe/Kayak,Semmelweis University,Budapest,,45,2|0|0,2012|2016
