name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Erik Bjornsen,Cross-Country Skiing,"Liberty Bell High School (Winthrop, Wash.) '08; Alaska Pacific University, Business Administration",Winthrop,WA,34,0|0|0,2014|2018
Sadie Bjornsen,Cross-Country Skiing,"Liberty Bell High School (Winthrop, Wash.) '08; Alaska Pacific University '15",Winthrop,WA,36,0|0|0,2014|2018
Kevin Bolger,Cross-Country Skiing,University of Utah,Minocqua,WI,33,0|0|0,2022
Rosie Brennan,Cross-Country Skiing,"Alaska Pacific University '17",Park City,UT,37,0|0|0,2018|2022|2026
Sophie Caldwell,Cross-Country Skiing,"Stratton Mountain School; Dartmouth College '12, Psychology",Peru,VT,36,0|0|0,2014|2018
Patrick Caldwell,Cross-Country Skiing,"Stratton Mountain School (Stratton, Vt.); Dartmouth College '17, Geography and Economics",Lebanon,NH,32,0|0|0,2018
Jessie Diggins,Cross-Country Skiing,"Stillwater Area High School '10",Afton,MN,34,1|1|2,2014|2018|2022|2026
Rosie Frankowski,Cross-Country Skiing,"Southwest High School (Minneapolis, Minn.) '09; Northern Michigan University, BA Spanish and Political Science ('13), MS in Public Administration ('14); Alaska Pacific University, MBA ('16)",Minneapolis,MN,34,0|0|0,2018
Hannah Halvorsen,Cross-Country Skiing,"Alaska Pacific University '22, Psychology, Business",Truckee,CA,28,0|0|0,2022
Simi Hamilton,Cross-Country Skiing,Middlebury College '09,Aspen,CO,38,0|0|0,2010|2014|2018
Reese Hanneman,Cross-Country Skiing,"Lathrop High School (Fairbanks, Alaska) '11; University of Alaska Anchorage, Mechanical Engineering",Fairbanks,AK,36,0|0|0,2018
Logan Hanneman,Cross-Country Skiing,"Lathrop High School (Fairbanks, Alaska) '11; University of Alaska Fairbanks '15",Fairbanks,AK,32,0|0|0,2018
Noah Hoffman,Cross-Country Skiing,"Aspen High School (Aspen, Colo.) '07",Aspen,CO,36,0|0|0,2014|2018
Luke Jager,Cross-Country Skiing,University of Utah,Anchorage,AK,26,0|0|0,2022
Lauren Jortberg,Cross-Country Skiing,,Boulder,CO,28,0|0|0,2026
Julia Kern,Cross-Country Skiing,Dartmouth College,Waltham,MA,28,0|0|0,2022|2026
Zak Ketterson,Cross-Country Skiing,,Bloomington,MN,29,0|0|0,2026
Tyler Kornfield,Cross-Country Skiing,"Service High School (Anchorage, Alaska) '09; University of Alaska Fairbanks '13",Anchorage,AK,35,0|0|0,2018
Kendall Kramer,Cross-Country Skiing,,Fairbanks,AK,23,0|0|0,2026
Sophia Laukli,Cross-Country Skiing,"University of Utah '23",Yarmouth,ME,25,0|0|0,2022
Novie McCabe,Cross-Country Skiing,University of Utah,Winthrop,WA,24,0|0|0,2022|2026
Zanden McMullen,Cross-Country Skiing,,Anchorage,AK,24,0|0|0,2026
Andy Newell,Cross-Country Skiing,"Stratton Mountain School (Stratton Mountain, Vt.) '02",Shaftsbury,VT,42,0|0|0,2006|2010|2014|2018
Ben Ogden,Cross-Country Skiing,"University of Vermont '22, Mechanical Engineering",Landgrove,VT,26,0|2|0,2022|2026
Caitlin Patterson,Cross-Country Skiing,"University of Vermont '12, Civil Engineering",Craftsbury,VT,36,0|0|0,2018
Scott Patterson,Cross-Country Skiing,"University of Vermont '14",Anchorage,AK,34,0|0|0,2018|2022
Kikkan Randall,Cross-Country Skiing,"East Anchorage High School (Anchorage, Alaska) '01; Alaska Pacific University '17, Business",Anchorage,AK,43,1|0|0,2002|2006|2010|2014|2018
Ida Sargent,Cross-Country Skiing,"Burke Mountain Academy (Burke, Vt.) '06; Dartmouth College '11, Biology and Psychology",Craftsbury,VT,38,0|0|0,2014|2018
JC Schoonmaker,Cross-Country Skiing,"University of Alaska Anchorage '22, Health Sciences",Tahoe City,CA,25,0|0|0,2022|2026
Gus Schumacher,Cross-Country Skiing,University of Alaska Anchorage,Anchorage,AK,25,0|1|0,2022|2026
Samantha Smith,Cross-Country Skiing,,Boise,ID,20,0|0|0,2026
Liz Stephen,Cross-Country Skiing,"Burke Mountain Academy (East Burke, Vt.) '05; Westminster College; University of Utah",East Montpelier,VT,39,0|0|0,2010|2014|2018
Hailey Swirbul,Cross-Country Skiing,"University of Alaska Anchorage '21, Civil Engineering",El Jebel,CO,27,0|0|0,2022|2026
Hunter Wonders,Cross-Country Skiing,"South Anchorage High School (Anchorage, Alaska) '17",Anchorage,AK,27,0|0|0,2026
