name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Taylor Anderson-Heide,Curling,University of Minnesota,Broomall,PA,31,0|0|0,2026
Scott Baird,Curling,,Bemidji,MN,75,0|0|1,2006
John Benton,Curling,University of Minnesota Twin Cities,Blaine,MN,56,0|0|0,2010
Erika Brown,Curling,Finch University of Health Sciences (Chicago),Madison,WI,53,0|0|0,1988|1998|2014
Craig Brown,Curling,University of Wisconsin,Monona,WI,50,0|0|0,2014
Danny Casper,Curling,University of Minnesota,Briarcliff Manor,NY,24,0|0|0,2026
Korey Dropkin,Curling,University of Minnesota Duluth,Southborough,MA,30,0|1|0,2026
Cora Farrell,Curling,James T. Hutchison High School (Fairbanks, Ark.); University of Minnesota '23 Political Science,Fairbanks,AK,26,0|0|0,
Pete Fenson,Curling,Bemidji High School; Bemidji State University,Bemidji,MN,58,0|0|1,2006
Stacey Fuchsgruber,Curling,Bemidji High School,Chicago,IL,51,0|0|0,1998|2002
Tyler George,Curling,,Duluth,MN,43,1|0|0,2018
Aileen Geving,Curling,University of Minnesota Duluth,Duluth,MN,39,0|0|0,2018|2022|2026
Matt Hamilton,Curling,McFarland High School (McFarland Wis.),McFarland,WI,37,1|0|0,2018|2022
Becca Hamilton,Curling,Edgewood College,McFarland,WI,35,0|0|0,2018|2022
Jamie Haskell,Curling,Bemidji High School; Bemidji State University,Bemidji,MN,45,0|0|0,2006
Colin Hufman,Curling,University of Washington Bothell,St. Paul,MN,41,0|0|0,2022
Jeff Isaacson,Curling,,Chaska,MN,42,0|0|0,2010|2014
Nicole Joraanstad,Curling,University of Wisconsin Madison,Verona,WI,45,0|0|0,2010
John Landsteiner,Curling,University of Minnesota Duluth '13 Civil Engineering,Mapleton,MN,35,1|0|0,2014|2018|2022
Debbie McCormick,Curling,,Rio,WI,52,0|0|0,1998|2002|2010|2014
Natalie Nicholson,Curling,Bemidji High School; University of North Dakota Grand Forks,Bemidji,MN,50,0|0|0,2010
Aidan Oldenburg,Curling,Minnesota State University Mankato,Mapleton,MN,24,0|0|0,2026
Abigail Page,Curling,Mankato East High School,Mankato,MN,25,0|0|0,
Vicky Persinger,Curling,University of Alaska Anchorage,Fairbanks,AK,33,0|0|0,2022
Tara Peterson,Curling,University of Minnesota,Eagan,MN,34,0|0|0,2022|2026
Tabitha Peterson Lovick,Curling,University of Minnesota,Eagan,MN,37,0|0|0,2018|2022|2026
Chris Plys,Curling,Lake Superior College,Duluth,MN,38,0|0|0,2010|2022
Joe Polo,Curling,Bemidji High School; Bemidji State University; University of North Dakota,Duluth,MN,43,1|0|1,2006|2018
Cassie Potter,Curling,Bemidji High School; Bemidji State University,St. Paul,MN,44,0|0|0,2006
Allison Pottinger,Curling,Richelieu Valley Regional High School; University of Wisconsin Oshkosh '94 Political Science and History; University of Milwaukee '98 MBA in Marketing,Eden Prairie,MN,52,0|0|0,2010|2014
Ben Richardson,Curling,Cleveland Institute of Music,Issaquah,WA,27,0|0|0,2026
Rebecca Rodgers,Curling,Pioneer Valley Regional School '18; University of Wisconsin Eau Claire '22 Ecology and Environmental Biology,Leyden,MA,25,0|0|0,
Shawn Rojeski,Curling,Bemidji State University,Chisholm,MN,54,0|0|1,2006
Nina Roth,Curling,Edgewood College,McFarland,WI,37,0|0|0,2018|2022
Rich Ruohonen,Curling,Hamline University,Brooklyn Park,MN,55,0|0|0,2026
Tracy Sachtjen,Curling,,Lodi,,57,0|0|0,2010
Jessica Schultz,Curling,Lake Superior College physical therapy,Richfield,MN,41,0|0|0,2006|2014
John Shuster,Curling,University of Minnesota Duluth,Superior,WI,43,1|0|1,2006|2010|2014|2018|2022
Chase Sinnett,Curling,Medfield High School; Clark University '17-'20; University of Minnesota '22 Individualized Studies,Medfield,MA,27,0|0|0,
Ann Swisshelm,Curling,Drake University BFA Theater,Chicago,IL,58,0|0|0,2002|2014
Cory Thiesse,Curling,University of Minnesota Duluth,Duluth,MN,31,0|1|0,2018|2026
Luc Violette,Curling,University of Washington,Lake Stevens,WA,27,0|0|0,2026
Jake Zeman,Curling,,Duluth,MN,23,0|0|0,
Jared Zezel,Curling,Bemidji State University,Mountain Iron,MN,35,0|0|0,2014
