name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Mara Abbott,Cycling,Fairview High School (Boulder Colo.) '04; Whitman College '08 Economics,Boulder,CO,40,0|0|0,2016
Riley Amos,Cycling,,Denver,CO,24,0|0|0,2024
Kristin Armstrong,Cycling,Kubasaki High School (Okinawa Japan) '91; University of Idaho '95 Exercise physiology,Boise,ID,52,3|0|0,2004|2008|2012|2016
Matt Baranoski,Cycling,Pennridge High School (Perkasie Pa.) '11; Penn State University '16 Electrical Engineering,Perkasie,PA,32,0|0|0,2016
Haley Batten,Cycling,University Canada '20,Los Gatos,CA,27,0|1|0,2020|2024
Perris Benegas,Cycling,,Reno,NV,30,0|1|0,2020|2024
Christopher Blevins,Cycling,California Polytechnic State University,Durango,CO,28,0|0|0,2020|2024
Savilia Blunk,Cycling,Fort Lewis College,Santa Rosa,CA,26,0|0|0,2024
Brent Bookwalter,Cycling,Rockford High School (Rockford Mich.) '02; Lees-McRae College '07 Biology,Grand Rapids,MI,42,0|0|0,2016
Nick Bruce,Cycling,Youngstown State University,Hubbard,OH,33,0|0|0,2020
Kelly Catlin,Cycling,Mounds View High School (Arden Hills Minn.) '14; University of Minnesota '18 Biomedical Engineering and Chinese,Arden Hills,MN,23,0|1|0,2016
Kate Courtney,Cycling,Stanford University,Kentfield,CA,30,0|0|0,2020
Lawson Craddock,Cycling,Austin Community College,Houston,TX,34,0|0|0,2020
Brooke Crain,Cycling,Mt. Whitney High School (Visalia Calif.) '11; Marian University,Visalia,CA,33,0|0|0,2012|2016
Lea Davison,Cycling,Mount Mansfield Union High School (Jericho Vt.) '01; Middlebury College '05 Environmental Studies,Jericho,VT,42,0|0|0,2012|2016
Justin Dowell,Cycling,Princess Anne High School (Virginia Beach Va.),Virginia Beach,VA,26,0|0|0,2020|2024
Adam Duvendeck,Cycling,Santa Barbara City College,Santa Barbara,,54,0|0|0,2004|2008
Chloé Dygert,Cycling,Marian University,Brownsburg,IN,29,1|1|2,2016|2020|2024
Kristen Faulkner,Cycling,Harvard University,Homer,AK,33,2|0|0,2024
Connor Fields,Cycling,Green Valley High School (Henderson Nev.) '10; University of Nevada Las Vegas '18 Marketing,Las Vegas,NV,33,1|0|0,2012|2016|2020
Maddie Godby,Cycling,University of Colorado Colorado Springs Nutrition,Louisville,CO,33,0|0|0,2020
Georgia Gould,Cycling,University of Montana '03 Psychology,Fort Collins,,46,0|0|1,2008|2012
Howard Grotts,Cycling,Fort Lewis College,Durango,CO,33,0|0|0,2016
Sarah Hammer,Cycling,Chaparral High School (Temecula Calif.) '00; Palomar College '13 Liberal Studies,Temecula,CA,42,0|4|0,2008|2012|2016
Adrian Hegyvary,Cycling,University of Washington '05 BA Comparative History of Ideas and '14 JD,Seattle,WA,42,0|0|0,2020
Gavin Hoover,Cycling,El Camino College,Manhattan Beach,CA,28,0|0|0,2020
Erin Huck,Cycling,University of Colorado Boulder '04 Mechanical Engineering,Boulder,CO,44,0|0|0,2020
Megan Jastrab,Cycling,Milligan College (Elizabethton Tenn.),Apple Valley,CA,24,0|0|1,2020
Matteo Jorgensen,Cycling,,Walnut Creek,CA,26,0|0|0,2024
Grant Koontz,Cycling,,Houston,TX,32,0|0|0,2024
Kamren Larsen,Cycling,Grand Canyon University,Bakersfield,CA,26,0|0|0,2024
Bobby Lea,Cycling,Gunston Day School (Centreville Md.) '02; Pennsylvania State University '06 Business Management,Topton,PA,42,0|0|0,2008|2012|2016
Nicholas Long,Cycling,El Capitan High School (Lakeside Calif.) '07; Grossmont Cuyamaca Community College,Lakeside,CA,36,0|0|0,2012|2016
Brandon McNulty,Cycling,Deer Valley High School (Glendale Ariz.),Phoenix,AZ,28,0|0|0,2020|2024
Amber Neben,Cycling,Orange Lutheran High School (Orange Calif.) '93; University of Nebraska '97 Biology,Lake Forest,CA,51,0|0|0,2008|2012|2020
Shelley Olds,Cycling,Roanoke College '03 Health & Human Performance,Gilroy,CA,45,0|0|0,2012
Taylor Phinney,Cycling,Boulder High School (Boulder Colo.) '07,Boulder,CO,35,0|0|0,2008|2012|2016
Payton Ridenour,Cycling,,Pottstown,PA,23,0|0|0,2020
Coryn Rivera,Cycling,Marian University,Newport Beach,CA,33,0|0|0,2020
Hannah Roberts,Cycling,Buchanan High School (Buchanan Mich.),Buchanan,MI,24,0|1|0,2020|2024
Sam Schultz,Cycling,University of Colorado Colorado Springs '18 Geography and Environmental Studies,Missoula,,40,0|0|0,2012
