name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Sarah Bacon,Diving,University of Minnesota,Indianapolis,IN,29,0|1|0,2024
Katie Bell,Diving,The Ohio State University,Columbus,OH,38,0|0|0,2012
David Boudia,Diving,Purdue University,Lafayette,IN,37,1|1|2,2008|2012|2016
Kelci Bryant,Diving,University of Minnesota,Chatham,IL,37,0|1|0,2008|2012
Andrew Capobianco,Diving,Indiana University,Holly Springs,NC,26,0|1|0,2020|2024
Chris Colwill,Diving,University of Georgia,,,41,0|0|0,2008|2012
Kassidy Cook,Diving,Stanford University '18,The Woodlands,TX,31,0|1|0,2016|2024
Amy Cozad Magaña,Diving,Decatur Central Indiana University,Indianapolis,IN,35,0|0|0,2016
Sam Dorman,Diving,Marcos de Niza University of Miami,Tempe,AZ,34,0|1|0,2016
Tyler Downs,Diving,,Ballwin,MO,22,0|0|0,2020|2024
Troy Dumais,Diving,University of Texas,Ventura,CA,46,0|0|1,2000|2004|2008|2012
Greg Duncan,Diving,Purdue University,Oakton,VA,27,0|0|0,2024
Mary Beth Dunnichay,Diving,Elwood High School (Elwood Ind.) '11; Purdue University,Elwood,IN,33,0|0|0,2008
Thomas Finchum,Diving,Belmont University,Indianapolis,IN,36,0|0|0,2008
Kris Freeman,Diving,University of Vermont,Andover,,45,0|0|0,2002|2006|2010|2014
Alison Gibson,Diving,University of Texas (2020),Austin,TX,26,0|0|0,2020|2024
Hailey Hernandez,Diving,University of Texas,Southlake,TX,23,0|0|0,2020
Michael Hixon,Diving,Indiana University; University of Michigan,Amherst,MA,31,0|2|0,2016|2020
Kristian Ipsen,Diving,De La Salle; Stanford University,Clayton,CA,33,0|0|1,2012|2016
Haley Ishimatsu,Diving,Duke University,Seal Beach,CA,33,0|0|0,2008
Steele Johnson,Diving,Purdue University,Carmel,IN,29,0|1|0,2016
Abby Johnston,Diving,Duke University,Upper Arlington,OH,36,0|1|0,2012|2016
Micki King,Diving,Pontiac Central High School (Pontiac Mich.); University of Michigan,Pontiac,MI,81,1|0|0,1968|1972
Cassidy Krug,Diving,Stanford University,Coraopolis,PA,40,0|0|0,2012
Brandon Loschiavo,Diving,Purdue University (2021),Huntington Beach,CA,28,0|0|0,2020|2024
Greg Louganis,Diving,Santa Ana High School; Valhalla High School; Mission Viejo High School; University of Miami; University of California Irvine,Santa Ana,CA,66,4|1|0,1976|1984|1988
Christina Loukas,Diving,Indiana University,Riverwoods,IL,40,0|0|0,2008|2012
Nick McCrory,Diving,Duke University,Chapel Hill,NC,34,0|0|1,2012
Krysta Palmer,Diving,University of Nevada,Gardnerville,NV,33,0|0|1,2020
Jessica Parratto,Diving,Indiana University,Dover,NH,31,0|1|0,2016|2020|2024
Ariel Rittenhouse,Diving,Florida State University,Santa Cruz,CA,35,0|0|0,2008
Delaney Schnell,Diving,University of Arizona,Tucson,AZ,27,0|1|0,2020|2024
Jevon Tarantino,Diving,University of Tennessee,Boca Raton,FL,42,0|0|0,2008
Carson Tyler,Diving,Indiana University,Moultrie,GA,21,0|0|0,2024
Nancilea Underwood Foster,Diving,University of Iowa,Conroe,TX,42,0|0|0,2008
Brittany Viola,Diving,University of Miami,Orlando,FL,39,0|0|0,2012
Laura Wilkinson,Diving,University of Texas Austin,The Woodlands,TX,48,1|0|0,2000|2004|2008
Jordan Windle,Diving,University of Texas,Fort Lauderdale,FL,27,0|0|0,2020
Daryn Wright,Diving,Purdue University,Plainfield,IN,22,0|0|0,2024
Katrina Young,Diving,Florida State University '15,Seattle,WA,34,0|0|0,2016|2020
