name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Monica Aksamit,Fencing,Matawan Regional High School (Matawan NJ) '08; Penn State University '16 Kinesiology,Matawan,NJ,36,0|0|1,2016
Anne Cebula,Fencing,Columbia University '20 Neuroscience & Behavior,Brooklyn,NY,27,0|0|0,2024
Miles Chamley-Watson,Fencing,The Knox School (St. James NY) '08; Penn State University '13 Sports Management,New York,NY,36,0|0|1,2012|2016|2024
Eli Dershwitz,Fencing,Harvard University,Boston,MA,30,0|0|0,2016|2020|2024
Jackie Dubrovich,Fencing,Columbia University,Riverdale,NJ,31,1|0|0,2020|2024
Margherita Guzzi Vincenti,Fencing,Penn State University,Hartland,WI,35,0|0|0,2024
Colin Heathcock,Fencing,Harvard University,Beijing,CA,20,0|0|0,2024
Katharine Holmes,Fencing,National Cathedral School (Washington DC) '11; Princeton University '17 Neuroscience,Washington,DC,32,0|0|0,2016|2020|2024
Daryl Homer,Fencing,Salesian High School (New Rochelle NY) '08; St. John's University '13 Advertising,Bronx,NY,35,0|1|0,2012|2016|2020
Jake Hoyle,Fencing,Strath Haven High School (Wallingford Penn.) '12; Columbia University '16 Economics and Business Management,Wallingford,PA,32,0|0|0,2020
Kelley Hurley,Fencing,Earl Warren High School (San Antonio Texas) '06; University of Notre Dame '10 Art/Pre-Med,San Antonio,TX,38,0|0|1,2008|2012|2016|2020
Courtney Hurley,Fencing,Earl Warren High School (San Antonio Texas) '08; University of Notre Dame '13 Film Television and Theater,San Antonio,TX,35,0|0|1,2012|2016|2020
Hadley Husisian,Fencing,Princeton University,Oakton,VA,22,0|0|0,2024
Race Imboden,Fencing,Dwight School (New York NY) '11,Brooklyn,NY,33,0|0|2,2012|2016|2020
Nick Itkin,Fencing,University of Notre Dame Finance,Los Angeles,CA,26,0|0|2,2020|2024
Lee Kiefer,Fencing,University of Notre Dame,Lexington,KY,31,3|0|0,2012|2016|2020|2024
Andrew Mackiewicz,Fencing,Pennsylvania State University '18 Marketing,Westwood,MA,30,0|0|0,2020
Sabrina Massialas,Fencing,Drew High School '15; University of Notre Dame '19,South Bend,IN,29,0|0|0,2020
Alexander Massialas,Fencing,Stanford University,San Francisco,CA,32,0|1|2,2012|2016|2020|2024
Curtis McDowald,Fencing,The Dwight School (New York NY); St. John's University '18,Jamaica,NY,30,0|0|0,2020
Gerek Meinhardt,Fencing,University of Kentucky College of Medicine,San Francisco,CA,35,0|0|2,2008|2012|2016|2020|2024
Ibtihaj Muhammad,Fencing,Columbia High School (Maplewood NJ) '04; Duke University '07 International Relations African and African-American Studies,Maplewood,NJ,40,0|0|1,2016
Tatiana Nazlymov,Fencing,Princeton University '27,Bethesda,MD,21,0|0|0,2024
Nzingha Prescod,Fencing,Stuyvesant High School (New York NY) '10; Columbia University '15 Political Science,Brooklyn,NY,33,0|0|0,2012|2016
Jason Pryor,Fencing,Lyndhurst Brush High School (Lyndhurst Ohio) '05; Ohio State University '09 English,South Euclid,OH,38,0|0|0,2016
Yeisser Ramirez,Fencing,,New York,NY,39,0|0|0,2020
Nicole Ross,Fencing,Columbia Preparatory School (New York NY) '07; Columbia University '13 Art History; The New School MA candidate in Psychology,New York,NY,37,0|0|0,2012|2020
Francesca Russo,Fencing,Wayne Valley High School; University of Notre Dame,Wayne,NJ,30,0|0|0,2020
Mitchell Saron,Fencing,Harvard University '23,Ridgewood,NJ,25,0|0|0,2024
Lauren Scruggs,Fencing,Harvard University,Queens,NY,23,1|1|0,2024
Mona Shaito,Fencing,,Garland,,31,0|0|0,2012|2016
Magda Skarbonkiewicz,Fencing,University of Notre Dame '28,Portland,OR,20,0|0|0,2024
Jeff Spear,Fencing,Homeschooled; Columbia University '10 Evolutionary Biology of the Human Species; New York University PhD,Wyantskill,NY,37,0|0|0,2012
Eliza Stone,Fencing,Princeton University '13 Political Theory,Chicago,IL,35,0|0|0,2020
Elizabeth Tartakovsky,Fencing,Harvard University,Livingston,NJ,25,0|0|0,2024
Khalil Thompson,Fencing,Teaneck High School; Pennsylvania State University,Teaneck,NJ,29,0|0|0,2020
Kasia Trzopek,Fencing,Warsaw Uprising High School Number 19; Penn State University '06 Philosophy,Pacifica,CA,45,0|0|0,2016
Maia Mei Weintraub,Fencing,Princeton University,Philadelphia,PA,23,1|0|0,2024
Dagmara Wozniak,Fencing,Colonia High School (Colonia NJ) '06; St. John's University '13 Biology,Avenel,NJ,37,0|0|2,2008|2012|2016|2020
Mariel Zagunis,Fencing,University of Notre Dame '13 Anthropology,Portland,OR,41,2|0|2,2004|2008|2012|2016|2020
Iris Zimmermann,Fencing,Stanford University,Fairport,,45,0|0|0,2000
Anna van Brummen,Fencing,Awty International School (Houston Texas) '12; Princeton University '17 Geoscience,Houston,TX,31,0|0|0,2020
