name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Katie Bam,Field Hockey,Wissahickon High School; University of Maryland '11,Blue Bell,PA,37,0|0|0,2012|2016
Kayla Bashore-Smedley,Field Hockey,Hamburg High School '01; Indiana University '05,Shoemakersville,,43,0|0|0,2008|2012
Kelsey Bing,Field Hockey,St. John's School '16; Stanford University '20,Houston,TX,28,0|0|0,2024
Jaclyn Briggs,Field Hockey,Conrad Weiser High School '06; University of North Carolina '10,Robesonia,PA,37,0|0|0,2016
Lauren Crandall,Field Hockey,Central Bucks East High School '03; Wake Forest University '07; Keller Graduate School of Management,Doylestown,PA,41,0|0|0,2008|2012|2016
Leah Crouse,Field Hockey,Frank W. Cox; Duke University (2022),Virginia Beach,VA,26,0|0|0,2024
Rachel Dawson,Field Hockey,Eastern Regional High School '03; University of North Carolina '07,Berlin,NJ,40,0|0|0,2008|2012|2016
Emma DeBerdine,Field Hockey,Penn Manor; University of Maryland (2023),Millersville,PA,24,0|0|0,2024
Brooke DeBerdine,Field Hockey,Penn Manor; University of Maryland (2021),Millersville,PA,26,0|0|0,2024
Kelly Doton,Field Hockey,Greenfield '00 College,,,44,0|0|0,2008
Stefanie Fee,Field Hockey,Frank W. Cox High School '08; Duke University '12,Virginia Beach,VA,36,0|0|0,2016
Nate Franks,Field Hockey,,Washington,WA,,0|0|0,
Jill Funk,Field Hockey,Penn Manor; University of Maryland,Lancaster,PA,34,0|0|0,2016
Jesse Gey,Field Hockey,Christopher Dock '04; University of North Carolina '08,Green Lane,,39,0|0|0,2008
Katelyn Ginolfi,Field Hockey,St. Marks High School '07; University of North Carolina '11,Lewes,DE,37,0|0|0,2008|2012|2016
Phia Gladieux,Field Hockey,,Oley,PA,23,0|0|0,2024
Amanda Golini,Field Hockey,Randolph High School; Lafayette College '17,Randolph,NJ,31,0|0|0,2024
Melissa Gonzalez,Field Hockey,Lakeland High School; University of Connecticut,Mohegan Lake,NY,37,0|0|0,2012|2016
Alexandra Hammel,Field Hockey,Duxbury High School; The Loomis Chaffee School; Boston University,Duxbury,MA,29,0|0|0,2024
Ashley Hoffman,Field Hockey,Twin Valley High School; University of North Carolina,Mohnton,PA,29,0|0|0,2024
Michelle Kasold,Field Hockey,East Chapel Hill High School '05; Wake Forest University '09,Chapel Hill,NC,38,0|0|0,2012|2016
Karlie Kisha,Field Hockey,Hamburg Area; University of Connecticut,Hamburg,PA,30,0|0|0,2024
Kelsey Kolojejchick,Field Hockey,Wyoming Seminary; University of North Carolina at Chapel Hill,Larksville,PA,34,0|0|0,2016
Paulie Kundi,Field Hockey,,,,39,0|0|0,
Ranveer Kundi,Field Hockey,Damien High School; University of San Diego; Keck Graduate Institute MS Regulatory Affairs,Glendora,CA,32,0|0|0,
Claire Laubach,Field Hockey,Centreville High School '01; Wake Forest University '05,Centreville,,42,0|0|0,2012
Kelee Lepage,Field Hockey,Twin Valley; University of Maryland (2020),Honey Brook,PA,28,0|0|0,2024
Alyssa Manley,Field Hockey,Warwick High School; Syracuse University,Lititz,PA,31,0|0|0,2016
Caroline Nichols,Field Hockey,Salem High School '03; Old Dominion University '07,Virginia Beach,,41,0|0|0,2008|2012
Katie Reinprecht,Field Hockey,Mount Saint Joseph Academy '08; Princeton University '13,Perkasie,PA,36,0|0|0,2012|2016
Julia Reinprecht,Field Hockey,Mount Saint Joseph's Academy '09; Princeton University '14,Perkasie,PA,34,0|0|0,2012|2016
Megan Rodgers,Field Hockey,Serra California (2021),San Diego,CA,27,0|0|0,2024
Sebastian Scheurer,Field Hockey,CJD Braunschweig,Greenwich,CT,39,0|0|0,
Paige Selenski,Field Hockey,University of Virginia,Shavertown,PA,35,0|0|0,2012
Ashley Sessa,Field Hockey,Episcopal Academy; Northwestern '27,Schwenksville,PA,21,0|0|0,2024
Kathleen Sharkey,Field Hockey,Wyoming Seminary; Princeton University,Moosic,PA,36,0|0|0,2016
Meredith Sholder,Field Hockey,University of North Carolina '22,Alburtis,PA,27,0|0|0,2024
Keli Smith-Puzo,Field Hockey,Selinsgrove High School '97; University of Maryland '01,Selinsgrove,,47,0|0|0,2008|2012
Thomas Staddon,Field Hockey,The Latymer School; University of Birmingham,,,35,0|0|0,
Amy Swensen,Field Hockey,University of North Carolina Chapel Hill,Grantville,,45,0|0|0,2008|2012
Abby Tamer,Field Hockey,Dexter High School; University of Michigan (2025),Dexter,MI,22,0|0|0,2024
Shannon Taylor,Field Hockey,James River '04; Syracuse University '08,Midlothian,,39,0|0|0,2012
Megan Valzonis,Field Hockey,,San Diego,CA,27,0|0|0,2024
Caitlin Van Sickle,Field Hockey,Tower Hill School; University of North Carolina,Wilmington,DE,36,0|0|0,2016
Michelle Vittese,Field Hockey,Camden Catholic '08; University of Virginia '13,Cherry Hill,NJ,36,0|0|0,2012|2016
Beth Yeager,Field Hockey,Princeton University '25,Greenwich,CT,22,0|0|0,2024
Maddie Zimmer,Field Hockey,Hershey; Northwestern '24,Hershey,PA,24,0|0|0,2024
