name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Jeremy Abbott,Figure Skating,,Aspen,CO,40,0|0|1,2010|2014
Spencer Akira Howe,Figure Skating,,Los Angeles,CA,29,0|0|0,2026
Tenley Albright,Figure Skating,Radcliffe College; Harvard Medical School,Newton Center,MA,90,1|1|0,1952|1956
Jean-Luc Baker,Figure Skating,Kamiak High School (Mukilteo Wash.),Edmonds,WA,32,0|0|0,2022
Evan Bates,Figure Skating,University of Michigan,Ann Arbor,MI,37,2|1|0,2010|2014|2018|2022|2026
Mariah Bell,Figure Skating,Ralston Valley High School (Arvada Colo.) '14,Monument,CO,30,0|0|0,2022
Brian Boitano,Figure Skating,Peterson High School; Santa Clara High School; De Anza College,Sunnyvale,CA,62,1|0|0,1984|1988|1994
Jason Brown,Figure Skating,University of Colorado Colorado Springs,Highland Park,IL,31,0|0|1,2014|2022
Dick Button,Figure Skating,Englewood School for Boys; Harvard College; Harvard Law School,Englewood,NJ,95,2|0|0,1948|1952
Ashley Cain-Gribble,Figure Skating,,Coppell,TX,30,0|0|0,2022
Marissa Castelli,Figure Skating,Community College of Rhode Island,Cranston,RI,35,0|0|1,2014
Emily Chan,Figure Skating,,Pasadena,TX,28,0|0|0,2026
Nathan Chen,Figure Skating,Yale University '22,Salt Lake City,UT,27,2|0|1,2018|2022
Karen Chen,Figure Skating,Cornell University '25,Fremont,CA,26,1|0|0,2018|2022
Madison Chock,Figure Skating,Novi High School,Redondo Beach,CA,33,2|1|0,2014|2018|2022|2026
Meryl Davis,Figure Skating,University of Michigan '14,West Bloomfield,MI,39,1|1|1,2010|2014
Caydee Denney,Figure Skating,,Ocala,,32,0|0|0,2010
Zach Donohue,Figure Skating,,Madison,CT,35,1|0|1,2018|2022
Polina Edmunds,Figure Skating,Archbishop Mitty High School,,,27,0|0|0,2014
Todd Eldredge,Figure Skating,,Irvine,CA,54,0|0|0,1992|1998|2002
Brandon Frazier,Figure Skating,,Colorado Springs,CO,33,1|0|0,2022
Vanna Giang,Figure Skating,La Quinta High School (Westminster California) '17,Westminster,CA,26,0|0|0,
Amber Glenn,Figure Skating,Collin College; Plano Senior High School '18,Plano,TX,26,1|0|0,2026
Gracie Gold,Figure Skating,University of Missouri High School,Redondo Beach,CA,30,0|0|1,2014
Joseph Goodpaster,Figure Skating,Seton Home Study School '15; University of South Florida Mechanical Engineering,Hershey,PA,28,0|0|0,
Dorothy Hamill,Figure Skating,Colorado Academy (Denver Colo.),Denver,CO,69,1|0|0,1976
Scott Hamilton,Figure Skating,Hononegah High School; Bowling Green State University,Bowling Green,OH,67,1|0|0,1980|1984
Kaitlin Hawayek,Figure Skating,Penn State University Psychology,East Aurora,NY,29,0|0|0,2022
Carol Heiss,Figure Skating,Professional Children’s School; New York University,New York,NY,86,1|1|0,1956|1960
Madison Hubbell,Figure Skating,Ohio Distance & Electronic Learning Academy (OHDELA) '09,Okemos,MI,35,1|0|1,2018|2022
Ellie Kam,Figure Skating,,Colorado Springs,CO,21,1|0|0,2026
Chris Knierim,Figure Skating,Pikes Peak Community College '15 Diesel Mechanics,San Diego,CA,38,0|0|1,2018
Alexa Knierim,Figure Skating,College of DuPage (Glen Ellyn Illinois),Addison,IL,34,1|0|1,2018|2022
Vadym Kolesnik,Figure Skating,,Kharkiv,,24,0|0|0,2026
Michelle Kwan,Figure Skating,University of Denver,,,45,0|1|1,1998|2002
Timothy LeDuc,Figure Skating,,Cedar Rapids,IA,36,0|0|0,2022
Alysa Liu,Figure Skating,UCLA,Oakland,CA,20,2|0|0,2022|2026
Ilia Malinin,Figure Skating,George Mason University,Vienna,VA,21,1|0|0,2026
Mirai Nagasu,Figure Skating,Capistrano Connections Academy '11; University of Colorado Colorado Springs International Business,Arcadia,CA,33,0|0|1,2010|2018
Maxim Naumov,Figure Skating,,Norwood,MA,24,0|0|0,2026
Danny O'Shea,Figure Skating,University of Colorado Colorado Springs,Colorado Springs,CO,35,1|0|0,2026
Anthony Ponomarenko,Figure Skating,,San Jose,CA,26,0|0|0,2026
Adam Rippon,Figure Skating,,Los Angeles,CA,36,0|0|1,2018
Sarah Rose,Figure Skating,Florida Virtual School (Orlando Florida) '19,Ellenton,FL,25,0|0|0,
Maia Shibutani,Figure Skating,Huron High School (Ann Arbor Mich.),Ann Arbor,MI,31,0|0|2,2014|2018
Alex Shibutani,Figure Skating,Huron High School (Ann Arbor Mich.),Ann Arbor,MI,35,0|0|2,2014|2018
Bradie Tennell,Figure Skating,,Carpentersville,IL,28,0|0|1,2018
Andrew Torgashev,Figure Skating,,Coral Springs,FL,24,0|0|0,2026
Ashley Wagner,Figure Skating,West Potomac High School; Saddleback Community College '14 Sports Journalism,Alexandria,VA,34,0|0|1,2014
Charlie White,Figure Skating,University of Michigan '14,Bloomfield Hills,MI,38,1|1|1,2010|2014
Kristi Yamaguchi,Figure Skating,Mission San Jose High School (San Jose Calif.),Fremont,CA,54,1|0|0,1992
Vincent Zhou,Figure Skating,Brown University '25,Palo Alto,CA,25,1|0|0,2018|2022
Emilea Zingas,Figure Skating,,Grosse Pointe Farms,MI,24,0|0|0,2026
