name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Wyndham Clark,Golf,University of Oregon '17,Denver,CO,32,0|0|0,2024
Bryson DeChambeau,Golf,Southern Methodist University,Clovis,CA,32,0|0|0,
Rickie Fowler,Golf,Murrieta Valley High School (Murrieta Calif.) '07; Oklahoma State University,Jupiter,FL,37,0|0|0,2016
Danielle Kang,Golf,Westlake High School (Westlake Village Calif.) '09; Pepperdine University (Malibu Calif.),Las Vegas,NV,33,0|0|0,2020
Jessica Korda,Golf,,Jupiter,FL,33,0|0|0,2020
Nelly Korda,Golf,,Bradenton,FL,27,1|0|0,2020|2024
Matt Kuchar,Golf,Seminole High School (Sanford Florida) '96; Georgia Tech '00 Management,Sea Island,GA,47,0|0|1,2016
Stacy Lewis,Golf,The Woodlands High School (The Woodlands Texas) '03; University of Arkansas '08 Finance and Accounting,Humble,TX,41,0|0|0,2016
Collin Morikawa,Golf,University of California Berkeley,La Canada,CA,29,0|0|0,2020|2024
Gerina Piller,Golf,Goddard High School (Roswell New Mexico) '03; University of Texas at El Paso '07 Mathematics,Dallas,TX,41,0|0|0,2016
Patrick Reed,Golf,University High School (Baton Rouge Louisiana) '08; Augusta University,Spring,TX,35,0|0|0,2016|2020
Xander Schauffele,Golf,Scripps Ranch High School; Long Beach State University; San Diego State University,San Diego,CA,32,1|0|0,2020|2024
Scottie Scheffler,Golf,University of Texas at Austin,Ridgewood,NJ,29,1|0|0,2024
Justin Thomas,Golf,University of Alabama,Louisville,KY,33,0|0|0,2020
Lexi Thompson,Golf,,Coral Springs,FL,31,0|0|0,2016|2020
Lilia Vu,Golf,University of California Los Angeles,Fountain Valley,CA,28,0|0|0,2024
Bubba Watson,Golf,Milton High School (Milton Fla.); Faulkner State Community College; University of Georgia '08 Consumer Economics,Bagdad,FL,47,0|0|0,2016
Rose Zhang,Golf,Pacific Academy (Irvine Calif.) '21; Stanford University '25,Irvine,CA,22,0|0|0,2024
