name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Simone Biles,Gymnastics,"Homeschooled (Spring Texas) '15",Spring,TX,29,7|2|2,2016|2020|2024
Jordan Chiles,Gymnastics,University of California Los Angeles,Vancouver,WA,25,1|1|0,2020|2024
Suni Lee,Gymnastics,"Auburn University '25",Saint Paul,MN,23,2|1|3,2020|2024
Nicole Ahsinger,Gymnastics,"University of Louisiana at Lafayette '20 Broadcasting",San Diego,CA,27,0|0|0,2016|2020
Brandon Briones,Gymnastics,"Gilbert High School (Gilbert Ariz.) '19",Gilbert,AZ,25,0|0|0,
Chris Brooks,Gymnastics,"Cypress Creek High School (Houston Texas) '05; University of Oklahoma '09 Business Management",Houston,TX,39,0|0|0,2016
Jade Carey,Gymnastics,Oregon State University,Phoenix,AZ,25,2|0|1,2020|2024
Isabelle Connor,Gymnastics,Other Institution,Manhattan Beach,CA,25,0|0|0,2020
Jake Dalton,Gymnastics,"Spanish Springs High School (Sparks Nev.) '09; University of Oklahoma '14 Multidisciplinary Studies",Sparks,NV,34,0|0|0,2012|2016
Logan Dooley,Gymnastics,"El Toro High School (Lake Forest Calif.) '05; Saddleback College '11 Child Development",Lake Forest,CA,38,0|0|0,2016
Gabrielle Douglas,Gymnastics,"Oak Park Independent School (Oak Park Calif.) '15",Los Angeles,CA,30,3|0|0,2012|2016
Kiana Eide,Gymnastics,"Glenbrook North High School (Northbrook Ill.) '17",St. Francis,MN,27,0|0|0,2016
Camilla Feeley,Gymnastics,,Deerfield,IL,26,0|0|0,2020
Aleah Finnegan,Gymnastics,"Summit Christian Academy (Lees Summit Mo.) '21",Lees Summit,MO,23,0|0|0,2024
Steven Gluckstein,Gymnastics,State University of New Jersey,Atlantic Highlands,NJ,35,0|0|0,2012
Evita Griskenas,Gymnastics,"Columbia University (New York)",Orland Park,IL,25,0|0|0,2020|2024
Laurie Hernandez,Gymnastics,"Abeka Academy High School (Old Bridge N.J.) '18",Old Bridge,NJ,25,1|1|0,2016
Asher Hong,Gymnastics,Stanford University,Plano,TX,22,0|0|1,2024
Jonathan Horton,Gymnastics,University of Oklahoma,Houston,TX,40,0|1|1,2008|2012
Paul Juda,Gymnastics,University of Michigan,Deerfield,IL,24,0|0|1,2024
Alisa Kano,Gymnastics,"Gramercy Arts High School (New York N.Y.) '13; Oakton Community College Undeclared",New York,NY,31,0|0|0,2016
Elizabeth Kapitonova,Gymnastics,"Tottenville High School (Staten Island N.Y.) '21",Staten Island,NY,22,0|0|0,
Madison Kocian,Gymnastics,"Spring Creek Academy (Plano Texas) '15",Dallas,TX,28,1|1|0,2016
Danell Leyva,Gymnastics,"Homeschooled '10",Homestead,FL,34,0|2|1,2012|2016
Brody Malone,Gymnastics,Stanford University,Summerville,GA,26,0|0|1,2020|2024
Grace McCallum,Gymnastics,"Minnesota Connections Academy '21; University of Utah '25",Isanti,MN,23,0|1|0,2020
Natalie McGiffert,Gymnastics,"Glenbrook North High School (Northbrook Ill.) '15",Topanga,CA,29,0|0|0,2016
Sam Mikulak,Gymnastics,"Corona del Mar High School (Newport Beach Calif.) '10; University of Michigan '15 Psychology",Newport Beach,CA,33,0|0|0,2012|2016|2020
Lili Mizuno,Gymnastics,,Northbrook,IL,25,0|0|0,2020
Yul Moldauer,Gymnastics,"University of Oklahoma '19 Communication",Arvada,CO,29,0|0|0,2020
Alex Naddour,Gymnastics,"Highland High School (Gilbert Ariz.) '09; University of Oklahoma",Gilbert,AZ,35,0|0|1,2016
Stephen Nedoroscik,Gymnastics,Pennsylvania State University--University Park,Worcester,MA,27,0|0|2,2024
John Orozco,Gymnastics,"Felisa Ricon De Gautier Institute for Law And Public Policy (Bronx N.Y.) '10; DeVry University '15 Business Management",Bronx,NY,33,0|0|0,2012
Elizaveta Pletneva,Gymnastics,,Caldwell,NJ,24,0|0|0,2020
Aly Raisman,Gymnastics,"Needham High School (Needham Mass.) '12",Needham,MA,31,3|2|1,2012|2016
Fred Richard,Gymnastics,University of Michigan,Stoughton,MA,22,0|0|1,2024
Hezly Rivera,Gymnastics,,Oradell,NJ,17,1|0|0,2024
Monica Rokhman,Gymnastics,"Glenbrook North High School (Northbrook Ill.) '15",Northbrook,IL,28,0|0|0,2016
Kristen Shaldybin,Gymnastics,"Highland Park High School (Highland Park Ill.) '16",Brooklyn,NY,28,0|0|0,2016
Aliaksei Shostak,Gymnastics,University of Louisiana at Lafayette,Lafayette,LA,31,0|0|0,2020|2024
MyKayla Skinner,Gymnastics,"Higley High School '15; University of Utah '22 Communication/Journalism",Gilbert,AZ,29,0|1|0,2020
Nicole Sladkov,Gymnastics,Vernon Hills,Vernon Hills,IL,26,0|0|0,2020
Jessica Stevens,Gymnastics,Howard Community College,Ellicott City,MD,25,0|0|0,2024
Shane Wiskus,Gymnastics,"Mound Westonka High School (Minnetrista Minn) '17; University of Minnesota '21 Business Marketing",Spring Park,MN,27,0|0|0,2020
Alec Yoder,Gymnastics,"Northpoint Homeschool (Noblesville Ind.) '15; Ohio State University '19 Sport Industries",Indianapolis,IN,29,0|0|0,2020
Laura Zeng,Gymnastics,"Libertyville High School (Libertyville Ill.) '18",Libertyville,IL,26,0|0|0,2016|2020
