name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Jasmin Bambur,Para Alpine Skiing,,Granby,CO,46,0|0|0,2010|2014|2018|2022|2026
Mark Bathum,Para Alpine Skiing,Mercer Island High School; University of Washington; UCLA,Seattle,WA,67,0|3|0,2010|2014|2018
Matthew Brewer,Para Alpine Skiing,Saddleback Community College,Huntington Beach,CA,50,0|0|0,2022|2026
Kevin Burton,Para Alpine Skiing; Para Biathlon,Skyline High School; University of Colorado at Boulder; City University of Seattle,Erie,CO,43,0|0|0,2014|2018
Noah Bury,Para Alpine Skiing,Weber State University,Salt Lake City,UT,23,0|0|0,2026
Heath Calhoun,Para Alpine Skiing,Grundy Senior HS; Southwest Virginia Community College,Bristol,TN,46,0|1|0,2010|2014
Tyler Carter,Para Alpine Skiing,Brandywine Heights High School; DeVry University,Topton,PA,32,0|0|0,2014|2018|2022
Audrey Crowley,Para Alpine Skiing,University of Denver,Eagle,CO,19,0|0|0,2026
Sadie DeBaun,Para Alpine Skiing,,Park City,UT,28,0|0|0,2018
Chris Devlin-Young,Para Alpine Skiing,Nooksack Valley HS; Flathead Valley Community College,Campton,NH,63,1|2|0,2002|2006|2010|2014
Ravi Drugan,Para Alpine Skiing,Lane Community College,Eugene,OR,36,0|0|0,2022|2026
Josh Elliott,Para Alpine Skiing,A.C. Davis High School,Yakima,WA,44,0|0|0,2018
Robert Enigl,Para Alpine Skiing,Fox Valley Tech,Kaukauna,WI,42,0|0|0,2022|2026
Ralph Green,Para Alpine Skiing,Boys and Girls HS; DeVry University,Brooklyn,NY,48,0|0|0,2006|2010|2014
Patrick Halgren,Para Alpine Skiing,Tolland High School,Tolland,CT,33,0|1|0,2022|2026
Andrew Haraghey,Para Alpine Skiing,Westminster College,Enfield,CT,30,0|0|0,2018|2022|2026
Gerald Hayden,Para Alpine Skiing,Golden Valley High; UC Davis,Winter Park,CO,45,0|0|0,2006|2010|2014
Connor Hogan,Para Alpine Skiing,DeVry University,Foxborough,MA,28,0|0|0,2018|2022
Joel Hunt,Para Alpine Skiing,Northwestern HS,Kokomo,IN,47,0|0|0,2014
Stephanie Jallen,Para Alpine Skiing,Wyoming Area Secondary Center; King's College,Harding,PA,30,0|0|2,2014|2018
Ian Jansing,Para Alpine Skiing,Lafayette HS,St. Louis,MO,40,0|0|0,2010|2014
Allie Johnson,Para Alpine Skiing,Lyons Township High School; Colorado State University,Chicago,IL,31,0|0|0,2022|2026
Jesse Keefe,Para Alpine Skiing,University of Colorado Colorado Springs,Sun Valley,ID,22,0|0|0,2022|2026
Allison Kunkel,Para Alpine Skiing,Steamboat Springs High School,Steamboat Springs,CO,25,0|0|0,2018
Andrew Kurka,Para Alpine Skiing,Colony High School,Palmer,AK,34,1|1|1,2018|2022|2026
Stephen Lawler,Para Alpine Skiing,Burlington High School,Burlington,VT,35,0|0|0,2014|2018
Jon Lujan,Para Alpine Skiing,Chatfield Senior HS; Arapahoe Community College,Littleton,CO,55,0|0|0,2014
Staci Mannella,Para Alpine Skiing,Morris County School of Technology; Dartmouth College,Randolph,NJ,30,0|0|0,2014|2018
Tyler McKenzie,Para Alpine Skiing,Bates College,Leominster,MA,34,0|0|0,2026
Scott Meyer,Para Alpine Skiing,West Bend West HS; University of Wisconsin Whitewater,Frisco,CO,52,0|0|0,
Kelsey O'Driscoll,Para Alpine Skiing,State University of New York (SUNY) Adirondack,Glens Falls,NY,32,0|0|0,2026
Patrick Parnell,Para Alpine Skiing,Lyman Memorial HS; Colby-Sawyer College,Columbia,CT,32,0|0|0,2014
Brandon Powell-Ashby,Para Alpine Skiing,,Boulder,CO,44,0|0|0,2018
Melanie Schwartz,Para Alpine Skiing,Forest Hill Collegiate Institute; University of Waterloo,Aspen,CO,40,0|0|0,2010|2014|2018
Jamie Stanton,Para Alpine Skiing,Rochester Adams High School; University of Denver,Oakland Township,MI,31,0|0|1,2014|2018
Laurie Stephens,Para Alpine Skiing,University of New Hampshire,Wenham,MA,42,2|2|3,2006|2010|2014|2018|2022|2026
Kyle Taulman,Para Alpine Skiing,Steamboat Springs High School,Winter Park,CO,24,0|0|0,2022|2026
Joe Tompkins,Para Alpine Skiing,La Grande HS,Juneau,AK,57,0|0|0,2002|2006|2010
Danelle Umstead,Para Alpine Skiing,Plano High School,Park City,UT,54,0|0|3,2010|2014|2018|2022
Rob Umstead,Para Alpine Skiing,Manchester High School; University of Massachusetts,Park City,UT,56,0|0|3,2010|2014|2018|2022
Stephani Victor,Para Alpine Skiing,Quaker Valley HS; University of Southern California,Park City,UT,56,2|2|1,2002|2006|2010|2014|2018
Tyler Walker,Para Alpine Skiing,Profile High School; University of New Hampshire,Franconia,NH,40,0|2|0,2006|2010|2014|2018
Thomas Walsh,Para Alpine Skiing,Savannah College of Art and Design,Vail,CO,31,0|1|2,2018|2022
David Williams,Para Alpine Skiing,Wentzville High School,Fort Lauderdale,FL,46,0|0|0,2022|2026
Spencer Wood,Para Alpine Skiing,University of Colorado Boulder,Pittsfield,VT,29,0|0|0,2018|2022|2026
Cade Yamamoto,Para Alpine Skiing,Quincy High School; Rocky Mountain College,Quincy,WA,36,0|2|0,2014|2018
