name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Eric Bennett,Para Archery,Northern Arizona State University,Surprise,AZ,52,0|0|0,2008|2012|2016|2020|2024
Lindsey Carmichael,Para Archery,,Lago Vista,,,0|0|1,2004|2008
Lia Coryell,Para Archery,University of Wisconsin-Whitewater,LaCrosse,WI,61,0|0|0,2016|2020
Jeff Fabry,Para Archery,,Lemore,CA,53,1|0|3,2004|2008|2012|2016
Lee Ford-Faherty,Para Archery,Georgia State University,,,,0|0|0,2012
Susan Hagel,"Para Archery, Wheelchair Basketball, Para Track and Field",University of Illinois,Minneapolis,MN,,4|0|2,1976|1980|1984|1988|1992|1996
Kevin Mather,Para Archery,The Art Institute of California - San Francisco,Santa Clarita,CA,43,1|0|0,2020
Tracy Otto,Para Archery,University of Tampa,Plant City,FL,30,0|0|0,2024
Kevin Polish,Para Archery,Mapletown Junior/Senior High School (Greensboro Pa.),Carmichaels,PA,43,0|0|0,2016|2020|2024
Emma Rose Ravish,Para Archery,,Alva,FL,26,0|0|0,2020
Andre Shelby,Para Archery,Jeffersonville High School (Jeffersonville Ind.),Jeffersonville,IN,59,1|0|0,2016|2020
Kevin Stone,Para Archery,,Kodak,,,0|0|1,2004|2008
Matt Stutzman,Para Archery,,Kansas City,KS,43,1|1|0,2012|2016|2020|2024
Jason Tabansky,Para Archery,,Brownsville,TX,42,1|0|0,2024
Samantha Tucker,Para Archery,,Gordon,NE,56,0|0|0,2016
Jordan White,Para Archery,,Cedar Park,TX,,0|0|0,2024
