name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Jazmin Almlie-Ryan,Para Shooting,University of Houston '06 Biology,Katy,TX,44,0|0|0,2016|2020|2024
Stetson Bardfield,Para Shooting,,Colorado Springs,CO,25,0|0|0,2020
Marco DeLaRosa,Para Shooting,Roosevelt High School '90,Chicago,IL,54,0|0|0,2016|2024
Tammy Delano,Para Shooting,Rome Free Academy (Rome NY) '91,Rome,NY,52,0|0|0,2016
Michael Dickey,Para Shooting,,Trafford,,0|0|0,2008
Tricia Downing,Para Shooting,Manual High School (Denver Colo.) '87; University of Maryland College Park '91 Journalism; Eastern Illinois University '95 Master of Science Physical Education and Sport Management; Regis University '10 Master of Arts Disability Studies,Denver,CO,56,0|0|0,2016
Taylor Farmer,Para Shooting,Margaretta High School (Castalia Ohio),Castalia,OH,28,0|0|0,2020
Danielle Fong,Para Shooting,Hewitt High School (Manhattan),New York,NY,34,0|0|0,2008
McKenna Geer,Para Shooting,DeVry University '18 Business and Technology Management,Arlington,WA,30,0|0|1,2016|2020|2024
YanXiao Gong,Para Shooting,Malibu High School; The Los Angeles Film School,Malibu,CA,28,0|1|0,2020|2024
Eric Hollen,Para Shooting,University of Southern California,Colorado Springs,,60,0|0|0,2012
John Joss,Para Shooting,Burkburnett High School (Burkburnett Texas) '02,Corsicana,TX,43,0|0|0,2016|2020|2024
Kevin Nguyen,Para Shooting,Westminster High School '12,Westminster,CA,33,0|0|0,2020|2024
Joshua Olson,Para Shooting,,Spokane,,46,0|0|0,2012
Mike Tagliapietra,Para Shooting,Marian University Wisconsin '00 Business Administration,Fond du Lac,WI,59,0|0|0,2016
