name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Jaclyn Hamwey,Para Snowboarding,Northeastern University,Boston,MA,37,0|0|0,2026
Cristina Albert,Para Snowboarding,East HS (Denver Colo.) '07; University of Colorado Denver '15 Theater,Denver,CO,37,0|0|0,2014
Tyler Burdick,Para Snowboarding,Cyprus High School (Magna Utah) '99,Salt Lake City,UT,45,0|0|0,2014|2022
Arlene Cohen,Para Snowboarding,Broward College '98 Paramedic-Firefighter,Breckenridge,CO,56,0|0|0,2018
Brittani Coury,Para Snowboarding,Farmington High School (Farmington NM); Pueblo Community College '16 Registered Nurse,Durango,CO,40,0|1|0,2018|2022
Kate Delson,Para Snowboarding,,San Diego,CA,21,1|1|0,2026
Heidi Jo Duce,Para Snowboarding,Ouray HS (Ouray Colo.) '09; Colorado Mesa University '16 Kinesiology,Ouray,,35,0|0|0,2014
Noah Elliott,Para Snowboarding,DeVry University,St. Charles,MO,28,2|1|1,2018|2022|2026
Keith Gabel,Para Snowboarding,Ben Lomond High School,Ogden,UT,41,0|1|1,2014|2018|2022|2026
Garrett Geros,Para Snowboarding,Cartersville High School (Cartersville Georgia) '18,Cartersville,GA,26,0|1|0,2022
Megan Harmon,Para Snowboarding,Butler High School (Huntsville Ala.) '07; University of Alabama in Huntsville '11 Mechanical Engineering,Huntsville,AL,36,0|0|0,2014
Brenna Huckaby,Para Snowboarding,DeVry University,Baton Rouge,LA,30,3|0|2,2018|2022|2026
Katlyn Maddry,Para Snowboarding,University of Alaska Anchorage,Wasilla,AK,24,0|0|0,2022
Mark Mann,Para Snowboarding,Bethel University '10 Business/Entrepreneurship,Eden Prairie,MN,38,0|0|0,2018
Zachary Miller,Para Snowboarding,DeVry University,Silverthorne,CO,27,0|0|0,2022|2026
Mike Minor,Para Snowboarding,Western Wayne High School '08,Frisco,CO,35,1|0|1,2018|2022
Dan Monzo,Para Snowboarding,Vernon Township HS (Vernon NJ) '08,Glenwood,NJ,35,0|0|0,2014
Joe Pleban,Para Snowboarding,Christopher Newport University,Fredericksburg,VA,35,0|0|0,2026
Amy Purdy,Para Snowboarding,Cimarron Memorial High School (Las Vegas Nev.) '98,Las Vegas,NV,46,0|1|2,2014|2018
Nicole Roundy,Para Snowboarding,Viewmont High School (Bountiful Utah) '04; Salt Lake Community College '08; Western Governors University '12 Business Management,Salt Lake City,UT,40,0|0|0,2014|2018
Mike Schultz,Para Snowboarding,Kimball Area High School,Kimball,MN,44,1|2|1,2018|2022|2026
Mike Shea,Para Snowboarding,Valencia High School (Valencia Calif.) '02,Castaic,CA,42,0|1|0,2014|2018
Jimmy Sides,Para Snowboarding,Gainesville High School (Gainesville Texas) '01; Colorado Mountain College '20 Geology/Hydrology,Silverthorne,CO,43,0|0|0,2018
Michael Spivey,Para Snowboarding,Abilene High School (Abilene Texas),Abilene,TX,45,0|0|0,2018|2022
Evan Strong,Para Snowboarding,Cabrillo College (Aptos Calif.),Haiku,HI,39,1|1|0,2014|2018|2022
