name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
David Abrahams,Para Swimming,Harvard University,Havertown,PA,25,0|1|0,2020|2024
Blake Adams,Para Swimming,Lakeville North High School,Lakeville,,0|0|0,
Cheryl Angelelli-Kornoelje,Para Swimming,,Detroit,,0|2|2,2000|2004|2008
Victoria Arlen,Para Swimming,,Exeter,,31,1|3|0,2012
Hannah Aspden,Para Swimming,Queens University of Charlotte,Raleigh,NC,25,2|0|2,2016|2020|2024
Evan Austin,Para Swimming,Indiana State University,Terre Haute,IN,33,1|0|1,2012|2016|2020|2024
Kelley Becherer,Para Swimming,Northeastern University,Sheboygan,,35,3|0|4,2004|2008|2012
Haley Beranbaum,Para Swimming,Glacier Peak High School (Snohomish) '14; Pikes Peak Community College,Snohomish,WA,29,0|0|0,2016
Reilly Boyt,Para Swimming,Poudre High School (Fort Collins Colo.) '14; University of California San Diego '18 Marine Biology,Fort Collins,CO,29,0|0|0,2016
Brickelle Bro,Para Swimming,Rock Canyon High School (Littleton Colo.) '15; Stanford University '15 Marine Biology,Castle Pines,CO,29,0|0|0,2012|2016
Aimee Bruder,Para Swimming,Eastern Kentucky University,Lawrenceburg,,51,0|1|4,1992|1996|2000|2004|2008|2012
Cody Bureau,Para Swimming,Greater Latrobe High School '06; Westmoreland Community College X-Ray Technologies,Latrobe,PA,37,0|0|1,2004|2008|2012|2016
Olivia Chambers,Para Swimming,University of Northern Iowa,Little Rock,AR,23,1|2|0,2024
Jaide Childs,Para Swimming,,Gainesville,,28,0|0|0,2012
Leslie Cichocki,Para Swimming,Victor J. Andrew High School '07; Moraine Valley Community College '15 Culinary Arts,Palos Hills,IL,37,0|0|0,2016
McKenzie Coan,Para Swimming,Loyola University,Clarkesville,GA,29,4|3|0,2012|2016|2020|2024
Cailin Currie,Para Swimming,Essex Technical High School '17; Merrimack College '21 Early Childhood Education,Salem,MA,27,0|0|0,2016|2020
Michael DeMarco,Para Swimming,San Diego State University,San Diego,,57,0|0|1,2004|2008|2012
Tharon Drake,Para Swimming,Hobbs High School '11; Eastern New Mexico University Mathematics,Hobbs,NM,33,0|2|0,2016
Tucker Dupree,Para Swimming,Garner High School '07; DeVry University '17 Emerging Technology,Raleigh,NC,37,0|1|3,2008|2012|2016
Tye Dutcher,Para Swimming,Auburn Riverside High School '15; DeVry University '19 Business Management and Entrepreneurship,Merced,CA,29,0|0|0,2016
Anna Eames,Para Swimming,Gustavus Adolphus College,Golden Valley,,35,1|1|1,2008|2012
Parker Egbert,Para Swimming,Emerald High School,Greenwood,SC,22,0|0|0,2020
Yaseen El-Demerdash,Para Swimming,University of Kansas,Overland Park,KS,22,0|0|0,2024
Amanda Everlove,Para Swimming,Ohio Northern University,Wichita,,36,0|3|0,2008|2012
Julia Gaffney,Para Swimming,,Mayflower,AR,26,0|0|3,2020|2024
Rudy Garcia-Tolson,Para Swimming,Bloomington High School '06; Southwestern College,Colorado Springs,CO,37,2|2|1,2004|2008|2012|2016|2020
Abby Gase,Para Swimming,Otsego High School (Tontogany Ohio) '21,Tontogany,OH,23,0|0|0,
Alyssa Gialamas,Para Swimming,Waubonsie Valley High School '14; Loyola University Maryland '18 Communications,Naperville,IL,30,0|0|0,2012|2016
Lindsay Grogan,Para Swimming,Central High School '06; University of Georgia '10 Journalism; Master of Kinesiology '12,Macon,GA,38,0|0|0,2016
Deb Gruen,Para Swimming,,Hamden,,0|0|2,2004|2008
Dalton Herendeen,Para Swimming,Concord High School '12; University of Indianapolis '16 Physical Therapy,Elkhart,IN,33,0|0|0,2012|2016
McClain Hermes,Para Swimming,Loyola University,Dacula,GA,25,0|0|0,2016|2020
Sophia Herzog,Para Swimming,Devry University,Fairplay,CO,29,0|1|1,2016|2020
Jamal Hill,Para Swimming,Hiram College,Inglewood,CA,31,0|0|1,2020|2024
Noah Jaffe,Para Swimming,University of California Berkeley '25,Carlsbad,CA,22,0|1|1,2024
Mikaela Jenkins,Para Swimming,F.J. Reitz High School (Evansville Indiana),Evansville,IN,23,2|0|0,2020
Anna Johannes,Para Swimming,DeVry University,Colorado Springs,,32,0|0|1,2012
Cortney Jordan,Para Swimming,Coronado High School '09; California Lutheran University '13 Liberal Studies; Loyola University Maryland '16 Masters in Elementary Education,Henderson,NV,34,1|8|3,2008|2012|2016
Abbas Karimi,Para Swimming,,Fort Lauderdale,FL,29,0|2|0,2020|2024
Keegan Knott,Para Swimming,Warren Township High School '23,Lake Villa,IL,20,0|0|0,2020|2024
Beth Kolbe,Para Swimming,,Tiffin,,0|0|0,2008
Michelle Konkoly,Para Swimming,Methacton High School '10; Georgetown University '14 Biology,Eagleville,PA,34,2|1|1,2016
Katie Kubiak,Para Swimming,New York University Film & Television Broadcast Journalism,Cedarburg,WI,22,0|0|0,
Lantz Lamback,Para Swimming,Augusta State,Augusta,,39,2|2|4,2004|2008|2012
Ahalya Lettenberger,Para Swimming,Rice University,Glen Ellyn,IL,25,0|1|0,2020|2024
Jessica Long,Para Swimming,,Baltimore,MD,34,18|8|5,2004|2008|2012|2016|2020|2024
Curtis Lovejoy,Para Swimming,Morris Brown College,Atlanta,,63,2|1|1,2000|2004|2008|2012
Elizabeth Marks,Para Swimming,Arizona Project Challenge,Colorado Springs,CO,35,2|6|2,2016|2020|2024
Letticia Martinez,Para Swimming,Las Cruces High School '13; New Mexico State University '19 Communications,Las Cruces,NM,30,0|0|0,2012|2016
Becca Meyers,Para Swimming,Notre Dame Preparatory '13; Franklin and Marshall '21 History,Baltimore,MD,31,3|2|1,2012|2016
Tom Miazga,Para Swimming,Saint Louis University,Milwaukee,,35,0|0|0,2008
Joe Murray,Para Swimming,Western Alamance High School '21,Burlington,NC,22,0|0|0,
Abbey Nardella,Para Swimming,Tahoma High School '21,Maple Valley,WA,22,0|0|0,
