name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Zachary Abbott,Para Track and Field,University of Arizona,Portland,,35,0|0|0,2012
Dani Aravich,"Para Nordic Skiing, Para Track and Field",Butler University,Boise,ID,30,0|0|0,2020|2022|2026
Jerome Avery,Para Track and Field,Lemoore High School (Lemoore Calif.) '97; Fresno City College '01 Kinesiology,Lemoore,CA,47,2|1|0,2004|2008|2012|2016
Femita Ayanbeku,Para Track and Field,American International College (Springfield Mass.),Boston,MA,33,0|0|0,2016|2020|2024
Sydney Barta,Para Track and Field,Stanford University; National Cathedral School (Washington DC),Arlington,VA,22,0|0|0,2020
Scout Bassett,Para Track and Field,University of California Los Angeles '11 Anthropology/Sociology,Harbor Springs,MI,37,0|0|0,2016
Korban Best,Para Track and Field,,Southlake,TX,22,0|1|0,2024
Natalie Bieule,Para Track and Field,Barry University '11 Psychology,Pembroke Pines,FL,43,0|0|0,2016
Jaydin Blackwell,Para Track and Field,Purdue University Northwest,Oak Park,MI,22,2|0|0,2024
David Blair,Para Track and Field,Weber State University,Eagle Mountain,UT,50,1|0|1,2016|2020|2024
Kaitlin Bounds,Para Track and Field,Russellville High School '10; Arkansas Tech University '14 History,Russellville,AR,34,0|0|0,2024
Mikey Brannigan,Para Track and Field,Suffolk County Community College,Northport,NY,29,1|0|1,2016|2020|2024
David Brown,Para Track and Field,Missouri School of the Blind (St. Louis Mo.) '11,St. Louis,MO,33,1|0|0,2012|2016|2020
Jeremy Campbell,Para Track and Field,University of Central Oklahoma,Perryton,TX,38,5|0|0,2008|2012|2016|2020|2024
Annie Carey,Para Track and Field,Bishop Kelly High School (Boise Idaho) '23,Boise,ID,21,0|0|0,2024
Josh Cinnamo,Para Track and Field,Luther College,San Diego,CA,45,0|0|1,2020|2024
Breanna Clark,Para Track and Field,Pasadena City College,Los Angeles,CA,31,2|0|0,2016|2020|2024
Edwin Cockrell,Para Track and Field,,New Athens,,0|1|0,2000|2004|2008
Zena Cole,Para Track and Field,Goodwill School of Business,Oregon,OH,69,0|0|1,2012|2016
Elizabeth Corso,Para Track and Field,Lipscomb University,Newmarket,NH,22,0|1|1,2020|2024
Kym Crosby,Para Track and Field,California State University at Chico,Yuba City,CA,33,0|0|3,2016|2020|2024
Charles Davis,Para Track and Field,Grafton High School '12; University of Hartford '16 Criminal Justice & Psychology,Grafton,MA,32,0|0|0,2016
Hannah Dederick,Para Track and Field,University of Illinois,Mead,WA,23,0|0|0,2020|2024
AJ Digby,Para Track and Field,Otsego High School '16; University of Mount Union '20,Tontogany,OH,28,0|0|0,2016
Connor Faint,Para Track and Field,Millbrook High School '14; Eastern Mennonite University '18 Nursing,Winchester,VA,29,0|0|0,
Tobi Fawehinmi,Para Track and Field,University of Texas at Arlington,Arlington,TX,30,0|0|0,2012|2016|2020
Jenna Fesemyer,Para Track and Field,University of Illinois at Urbana Champaign,Ravenna,OH,29,0|0|0,2020|2024
Lauren Fields,Para Track and Field,,Spokane Valley,WA,20,0|0|0,2024
Ezra Frech,Para Track and Field,USC,Los Angeles,CA,21,2|0|0,2020|2024
Emily Frederick,Para Track and Field,Hokes Bluff High School (Hokes Bluff Ala.) '16,Gadsden,AL,27,0|0|0,2016
Mike Gallardo,Para Track and Field,Montebello High School (Montebello Calif.) '03,Los Angeles,CA,41,0|0|0,2020
Joshua George,Para Track and Field,Herndon High School '02; University of Illinois '07 News Editorial Journalism,Herndon,VA,42,1|1|3,2004|2008|2012|2016|2020
Lex Gillette,Para Track and Field,East Carolina University,Raleigh,NC,41,0|5|0,2004|2008|2012|2016|2020
Joel Gomez,Para Track and Field,Classical Academy (Escondido Calif.) '21,Encinitas,CA,22,0|0|0,2020|2024
Jonathan Gore,Para Track and Field,Concord University '17,Fayetteville,WV,31,0|0|0,2020|2024
Peter Gottwald,Para Track and Field,,West Chester,,0|1|0,2004|2008
Sam Grewe,Para Track and Field,University of Notre Dame,Middlebury,IN,27,1|1|0,2016|2020|2024
