name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Mark Barr,Paratriathlon,Davis Senior High School; California Polytechnic State University Nutrition Science,Davis,CA,39,0|0|1,2004|2008|2016|2024
Carson Clough,Paratriathlon,,Charlotte,NC,,0|1|0,2024
Kyle Coon,Paratriathlon,Paxon School for Advanced Studies; University of Central Florida '13 Communication,Carbondale,CO,34,0|0|0,2020|2024
Owen Cravens,Paratriathlon,Arizona State University,Algonquin,IL,,0|0|0,2024
Hailey Danz,Paratriathlon,Wauwatosa East High School,Colorado Springs,CO,35,1|2|0,2016|2020|2024
Kelly Elmlinger,Paratriathlon,University of North Carolina at Chapel Hill,Attica,OH,46,0|0|0,2020|2024
Kendall Gretsch,"Paratriathlon, Para Nordic Skiing, Para Biathlon",Washington University St. Louis,Downers Grove,IL,34,5|3|3,2018|2020|2022|2024|2026
Chris Hammer,Paratriathlon,Grand Valley State University,Elkins,WV,40,1|0|0,2012|2016|2020|2024
Ben Hoffman,Paratriathlon,,,,,0|0|0,
Mohamed Lahna,Paratriathlon,College of San Mateo (San Mateo Calif.),Hayward,CA,44,0|1|1,2016|2020|2024
Eric McElvenny,Paratriathlon,Wauwatosa East High School; United States Naval Academy '06 Mechanical Engineering,Pittsburgh,PA,42,0|0|0,2020|2024
Emma Meyers,Paratriathlon,Colorado Mesa University,Pensacola,FL,19,0|0|0,2024
Grace Norman,Paratriathlon,Cedarville University,Jamestown,OH,28,2|1|1,2016|2020|2024
Emelia Perry,Paratriathlon,Ursinus College (Collegeville Penn.),Philadelphia,PA,33,0|0|0,2024
Howie Sanborn,Paratriathlon,,Denver,CO,43,0|0|0,2024
Allysa Seely,Paratriathlon,Arizona State University,Glendale,AZ,37,2|0|1,2016|2020|2024
Melissa Stockwell,Paratriathlon,University of Colorado,Colorado Springs,CO,46,0|0|1,2008|2016|2020|2024
Rachel Watts (Rhodes),Paratriathlon,,St. Joseph,MO,40,0|0|0,2024
