name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
William Bender,Rowing,Dartmouth College,Norwich,VT,,0|0|0,2024
Kate Bertko,Rowing,Bishop O’Dowd High School (Oakland Calif.) '02; Princeton University '06 Ecology and Evolutionary Biology,Oakland,CA,42,0|0|0,2016
Justin Best,Rowing,Drexel University '19 Business and Engineering,Kennett Square,PA,28,1|0|0,2020|2024
Molly Bruggeman,Rowing,University of Notre Dame '14 Anthropology/Pre-Medicine,Dayton,OH,33,0|0|0,2024
Oliver Bub,Rowing,Dartmouth College,Westport,CT,28,0|0|0,2024
Charlotte Buck,Rowing,Columbia University (New York NY),Nyack,NY,31,0|0|0,2020|2024
Andrew Campbell Jr.,Rowing,New Canaan High School (New Canaan Conn.) '10; Harvard University '14 Economics,New Canaan,CT,34,0|0|0,2016
Chris Carlson,Rowing,University of Washington,Bedford,NH,29,0|0|1,2024
Kendall Chase,Rowing,J.K. Mullen High School (Denver Colo.) '12; University of California Berkeley '16,Evergreen,CO,31,0|0|0,2020
Peter Chatain,Rowing,Stanford University '22,Winnetka,IL,26,0|0|1,2024
Olivia Coffey,Rowing,Harvard University '11,Watkins Glen,NY,37,0|0|0,2020|2024
Teal Cohen,Rowing,University of Washington '22,Dallas,TX,27,0|0|0,2024
Charlie Cole,Rowing,New Canaan High School (New Canaan Conn.) '03; Yale University '07 History; University of Oxford '08 Environmental Policy,New Canaan,CT,39,0|0|1,2012|2016
Claire Collins,Rowing,Princeton University,McLean,VA,29,0|0|0,2020|2024
Liam Corrigan,Rowing,Harvard University '22,Old Lyme,CT,28,1|0|0,2020|2024
Azja Czajkowski,Rowing,Stanford,Chula Vista,CA,25,0|0|0,2024
Ben Davison,Rowing,University of Washington,Inverness,FL,29,0|0|0,2020|2024
Anita DeFrantz,Rowing,Connecticut College; University of Pennsylvania School of Law,Philadelphia,PA,73,0|0|1,1976
Clark Dean,Rowing,Harvard University,Sarasota,FL,26,0|0|1,2020|2024
Emily Delleman,Rowing,Stanford University '20,Davenport,IA,27,0|0|0,2024
Michael DiSanto,Rowing,Belmont Hill School (Belmont Mass.) '08; Harvard University '12 Psychology,Boston,MA,36,0|0|0,2016
Sam Dommer,Rowing,Folsom High School (Folsom Calif.) '09; University of Washington '14 Electrical Engineering,Folsom,CA,34,0|0|0,2016
Gia Doonan,Rowing,Tabor Academy (Marion Mass.) '13; University of Texas at Austin '19 Kinesiology,Rochester,MA,31,0|0|0,2020
Tracy Eisser,Rowing,Fair Lawn High School (Fair Lawn NJ) '08; Cornell University '12 Sociology French,Fair Lawn,NJ,36,0|0|0,2016|2020
Amanda Elmore,Rowing,Harrison High School (West Lafayette Ind.) '09; Purdue University '09 Biological Sciences; University of Michigan '18 Microbiology and Immunology,West Lafayette,IN,35,1|0|0,2016
Anthony Fahden,Rowing,Acalanes High School (Lafayette Calif.) '04; Dartmouth College '09 Art History,Lafayette,CA,40,0|0|0,2012|2016
Maggie Fellows,Rowing,Northfield Mount Hermon '09; St. Lawrence University '13 Environmental Studies and Multi-Language,Warwick,MA,35,0|0|0,
Tessa Gobbo,Rowing,Northfield Mount Hermon School (Mount Hermon Mass.) '09; Brown University '13 Sociology,Chesterfield,NH,35,1|0|0,2016
Michael Grady,Rowing,Cornell University '19,Pittsburgh,PA,29,1|0|0,2020|2024
Nareg Guregian,Rowing,Agbu Manoogian School (Canoga Park Calif.) '06; University of California Berkeley '11 Media Studies and Mass Communications,North Hills,CA,37,0|0|0,2016
Katelin Guregian,Rowing,Winter Park High School (Winter Park Fla.) '03; University of Washington '09 History,Orlando,FL,38,1|0|0,2016|2020
Austin Hack,Rowing,Lyme-Old Lyme High School (Old Lyme Conn.) '10; Stanford University '14 Political Science,Old Lyme,CT,33,0|0|0,2016|2020
Conor Harrity,Rowing,Boston College High School (Boston Mass.); Harvard University '18 Economics,Weston,MA,31,0|0|0,2020
Margaret Hedeman,Rowing,Yale University '23,Concord,MA,25,0|0|0,2024
Max Heid,Rowing,Seattle Preparatory School (Seattle Wash.) '19,Seattle,WA,25,0|0|0,
Henry Hollingsworth,Rowing,Brown University '22,Dover,MA,28,0|0|1,2024
Ross James,Rowing,University of Wisconsin Madison '10 Biological Systems Engineering,CA,,38,0|0|0,2012
Grace Joyce,Rowing,University of Wisconsin '20,Northfield,IL,28,0|0|0,2024
Emily Kallfelz,Rowing,Princeton University '19,Jamestown,RI,29,0|0|0,2024
Megan Kalmoe,Rowing,St. Croix Falls High School (St. Croix Falls Wis.) '01; University of Washington '06 Latin/English,St. Croix Falls,WI,42,0|0|1,2008|2012|2016|2020
Alex Karwoski,Rowing,Groton School (Groton Mass.) '08; Cornell University '12 Civil and Environmental Engineering,Hollis,NH,35,0|0|0,2016
Devery Karz,Rowing,Park City High School (Park City Utah) '07; Oregon State University '11 Speech Communication,Park City,UT,38,0|0|0,2016
Steve Kasprzyk,Rowing,Holy Cross High School (Delran NJ) '00; Drexel University '05 Chemical Engineering,Cinnaminson,NJ,44,0|0|0,2012|2016
Edward King,Rowing,Arcadia Valley (Ironton Mo.) '07; United States Naval Academy '11 Oceanography,Ironton,MO,36,0|0|0,2016
Kaitlin Knifton,Rowing,University of Texas Austin,Austin,TX,25,0|0|0,2024
Kara Kohler,Rowing,University of California Berkeley '14,Clayton,CA,35,0|0|1,2012|2020|2024
Josh Konieczny,Rowing,St. John's Jesuit High School (Toledo Ohio) '09; Dartmouth College '13 Economics,Millbury,OH,34,0|0|0,2016
Sorin Koszyk,Rowing,Cornell University '20,Grosse Pointe Park,MI,28,0|0|0,2024
Grace Latz,Rowing,Jackson Northwest High School (Jackson Mich.) '06; University of Wisconsin '10 International and Environmental Studies,Jackson,MI,38,0|0|0,2016
Caroline Lind,Rowing,Princeton University '06 Anthropology,Greensboro,NC,43,2|0|0,2008|2012
Esther Lofgren,Rowing,Harvard University '09 Economics,Newport Beach,CA,41,1|0|0,2012
Elle Logan,Rowing,Brooks School (North Andover Mass.) '06; Stanford University '11 History,Boothbay Harbor,ME,38,3|0|0,2008|2012|2016
Grace Luczak,Rowing,Ann Arbor Pioneer High School (Ann Arbor Mich.) '07; Stanford University '11 Human Biology,Ann Arbor,MI,36,0|0|0,2016|2020
Cicely Madden,Rowing,Brown University,Weston,MA,31,0|0|0,2020
