name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Ilona Maher,Rugby,Quinnipiac University,Burlington,VT,29,0|0|1,2020|2024
Tyren Al-Jiboori,Rugby,Union High School (Tulsa Okla.),Tulsa,OK,26,0|0|0,
Perry Baker,Rugby,Fairmont State University,Daytona Beach,FL,39,0|0|0,2016|2020|2024
Bui Baravilala,Rugby,Radford High School (Honolulu Hawaii) '09,Honolulu,HI,34,0|0|0,2016
Danny Barrett,Rugby,Sacred Heart Cathedral Preparatory (San Francisco Calif.) '08; University of California Berkeley '13 American Studies,Pacifica,CA,36,0|0|0,2016|2020
Garrett Bender,Rugby,Washburn High School (Minneapolis Minn.) '10; St. Cloud State University,Minneapolis,MN,34,0|0|0,2016
Orrin Bizer,Rugby,Life University,The Woodlands,TX,25,0|0|0,2024
Maceo Brown,Rugby,Corona Del Sol High School (Tempe Ariz.); Grand Canyon University,Tempe,AZ,30,0|0|0,2020
Kayla Canett,Rugby,Penn State University,Fallbrook,CA,28,0|0|1,2020|2024
Ryan Carlyle,Rugby,Clarkstown High School South (West Nyack NY) '07; University of South Carolina '11 Sport Management and Marketing; DeVry University '14 International Business,West Nyack,NY,36,0|0|0,2016
Max Clark,Rugby,Brighton College (Brighton England) '18,Ditchling,,25,0|0|0,
Alex Cleary,Rugby,Ferndale High School (Ferndale Wash.) '18; Central Washington University '22,Ferndale,WA,26,0|0|0,
Aaron Cummings,Rugby,Davenport University,Muskegon,MI,28,0|0|0,2024
Lauren Doyle,Rugby,Eastern Illinois University,Boody,IL,35,0|0|1,2016|2020|2024
Andrew Durutalo,Rugby,Suva Grammar Secondary School (Suva Fiji) '07; Binghamton University '11 Business Administration,San Diego,CA,38,0|0|0,2016
Nate Ebner,Rugby,Hillard Davidson High School (Hillard Ohio) '07; Ohio State University '12 Nutrition and Exercise Science,Columbus,OH,37,0|0|0,2016
Cheta Emba,Rugby,Maggie L. Walker Governor's School (Richmond Va.); Harvard University '15 Molecular and Cellular Biology,Richmond,VA,32,0|0|0,2020
Malacchi Esdale,Rugby,University of Central Florida,Newark,DE,31,0|0|0,2024
Lauina Falatea,Rugby,Kahuku High School (Kahuku Hawaii) '18,Hauula,HI,26,0|0|0,
Carmen Farmer,Rugby,Varina High School (Richmond Va.) '99; Virginia Tech University '03 Public and Urban Affairs; University of Maryland '06 Law,Richmond,VA,45,0|0|0,2016
Joanne Fa’avesi,Rugby,Luther Burbank High School (Sacramento Calif.) '10,Sacramento,CA,34,0|0|0,2016
Victoria Folayan,Rugby,Poinciana High School (Kissimmee Fla.) '02; Stanford University '06 Psychology and Drama; DeVry University,Boston,MA,40,0|0|0,2016
Naima Fuala'au,Rugby,Tennyson High School (Hayward Calif.),Hayward,CA,27,0|0|0,2024
Jasper Green,Rugby,St. Paul's School (San Francisco Calif.) '18; Dartmouth College '22,London,,26,0|0|0,
Kelly Griffin,Rugby,Berkeley High School (Berkeley Calif.) '04; University of California Los Angeles '08 Applied Mathematics; DeVry University,Berkeley,CA,39,0|0|0,2016
Abby Gustaitis,Rugby,North Harford High School (Pylesville Md.); University of Maryland '13 Physiology and Neurobiology,White Hall,MD,35,0|0|0,2020
Nicole Heavirland,Rugby,Phillips Exeter Academy; Army West Point Kinesiology,Whitefish,MT,31,0|0|0,2020
Madison Hughes,Rugby,Wellington College (Crowthorne England) '11; Dartmouth College '15,Lancaster,MA,33,0|0|0,2016|2020|2024
Martin Iosefo,Rugby,Leilehua High School (Wahiawa Hawaii) '08; University of Montana '15 Psychology,Wahiawa,HI,36,0|0|0,2016|2020
Carlin Isles,Rugby,Ashland University,Massillon,OH,36,0|0|0,2016|2020
Jessica Javelet,Rugby,Torrey Pines High School (San Diego Calif.) '03; University of Louisville '07 Marketing; DeVry University,San Diego,CA,40,0|0|0,2016
Kathryn Johnson,Rugby,Hopkins High School (Hopkins Minn.) '10; University of Wisconsin Milwaukee; DeVry University,Hopkins,MN,34,0|0|0,2016
Alev Kelter,Rugby,Chugiak High School (Chugiak Alaska) '09; University of Wisconsin '15 Fine Arts,Eagle River,AK,35,0|0|1,2016|2020|2024
Kristi Kirshe,Rugby,Williams College,Franklin,MA,31,0|0|1,2020|2024
