name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Katelyn Abeln,Shooting,Ohio State University,Douglasville,GA,25,0|0|0,2024
Madelynn Bernau,Shooting,"Waterford Union High School (Waterford Wis.) '16; Martin Methodist College '20 Biology/Pre-veterinary Science",Waterford,WI,28,0|0|1,2020
Will Brown,Shooting,"Twin Falls High School (Twin Falls Idaho) '10; University of Colorado Colorado Springs Mechanical Engineering",Twin Falls,ID,34,0|0|0,2016
Kayle Browning,Shooting,"Greenbrier High School (Greenbrier Ark.) '10; University of Central Arkansas Interior Design",Wooster,AR,33,0|1|0,2020
Brian Burrows,Shooting,"California State University '16 Business",Fallbrook,CA,38,0|0|1,2020
Corey Cogdell-Unrein,Shooting,"I.D.E.A. Home School Association (Eagle River Alaska) '06",Eagle River,AK,39,0|0|2,2008|2012|2016
Morgan Craft,Shooting,"Sullivan County High School (Laporte Pa.) '11; Lindenwood University '15 Exercise Science",Muncy Valley,PA,33,0|0|0,2016
Matt Emmons,Shooting,"Pemberton Township High School (Pemberton N.J.) '99; University of Alaska-Fairbanks '03 Accounting; University of Colorado Colorado Springs '06 Business Administration",Brown Mills,NJ,45,1|1|1,2004|2008|2012|2016
Amber English,Shooting,"University of Colorado Colorado Springs '12 Allied Health Science",Colorado Springs,CO,36,1|0|0,2020
Amanda Furrer,Shooting,Ohio State University,Spokane,,35,0|0|0,2012
Walton Glenn Eller,Shooting,"James E. Taylor High School (Katy Texas) '00; Auburn University '04",Columbus,GA,44,0|0|0,2000|2004|2008|2012|2016
James Hall,Shooting,"Jacksonville State University (Jacksonville Ala.) '06 Pre-Engineering and Computer Integrated Engineering System",Anniston,AL,42,0|0|0,2020
Vincent Hancock,Shooting,Troy University,Eatonton,GA,37,4|1|0,2008|2012|2016|2020|2024
David Higgins,Shooting,"San Clemente High School (San Clemente Calif.); Air Force Academy Economics",San Clemente,CA,31,0|0|0,2016
Will Hinton,Shooting,,Dacula,GA,30,0|0|0,2024
Phillip Jungman,Shooting,"Caldwell High School (Caldwell Calif.) '13; Blinn College Psychology",Caldwell,TX,30,0|0|0,2020
Rylan Kissell,Shooting,,Littleton,CO,23,0|0|0,2024
Ada Korkhin,Shooting,"Ohio State University '27",Brookline,MA,21,0|0|0,2024
Lucas Kozeniesky,Shooting,"North Carolina State University '17 Sport Management",Colorado Springs,CO,30,0|1|0,2016|2020
Alexis Lagan,Shooting,"Boulder City High School (Boulder City Nev.) '11; University of Utah '17 Pre-Law Physics",Boulder City,NV,33,0|0|0,2020|2024
Henry Leverett,Shooting,Ohio State University,Bainbridge,GA,24,0|0|0,2020|2024
