name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Jordyn Barratt,Skateboarding,,Haleiwa,HI,27,0|0|0,2020
Gavin Bottger,Skateboarding,,Vista,CA,19,0|0|0,2024
Tate Carew,Skateboarding,,San Diego,CA,,0|0|0,2024
Mariah Duran,Skateboarding,,Albuquerque,NM,29,0|0|0,2020|2024
Jagger Eaton,Skateboarding,,Mesa,AZ,25,0|1|1,2020|2024
Paige Heyn,Skateboarding,,Tempe,AZ,18,0|0|0,2024
Nyjah Huston,Skateboarding,,Davis,CA,31,0|0|1,2020|2024
Jake Ilardi,Skateboarding,,Osprey,FL,29,0|0|0,2020
Chris Joslin,Skateboarding,,Hawaiian Gardens,CA,,0|0|0,2024
Cory Juneau,Skateboarding,,San Diego,CA,26,0|0|1,2020
Ruby Lilley,Skateboarding,,Oceanside,CA,,0|0|0,2024
Poe Pinson,Skateboarding,,"Fernandina Beach",FL,,0|0|0,2024
Heimana Reynolds,Skateboarding,"Mid-Pacific Institute (Honolulu Hawaii) '17",Honolulu,HI,27,0|0|0,2020
Alexis Sablone,Skateboarding,"Columbia University; MIT Architecture",Brooklyn,NY,39,0|0|0,2020
Tom Schaar,Skateboarding,"San Dieguito High School Academy (Encinitas Calif.) '18",Malibu,CA,26,0|1|0,2024
Alana Smith,Skateboarding,,Mesa,AZ,25,0|0|0,2020
Minna Stess,Skateboarding,,Petaluma,CA,,0|0|0,2024
Bryce Wettstein,Skateboarding,"MiraCosta College San Elijo Campus",Encinitas,CA,22,0|0|0,2020|2024
Zion Wright,Skateboarding,,Palm Beach County,FL,27,0|0|0,2020
Brighton Zeuner,Skateboarding,"Summit Academy (Newport Beach California)",Encinitas,CA,21,0|0|0,2020
