name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Brody Roybal,Sled Hockey,University of Arizona,Northlake,IL,27,4|0|0,2014|2018|2022|2026
Kayden Beasley,Sled Hockey,,Coats,NC,19,1|0|0,2026
Brett Bolton,Sled Hockey,University of Colorado Boulder,Rockledge,FL,20,1|0|0,2026
Tyler Carron,Sled Hockey,"Berthoud High School (Berthoud Colo.) '07",Berthoud,CO,37,2|0|0,2014|2018
Steve Cash,Sled Hockey,"University of Missouri-St. Louis Finance '15",Overland,MT,37,3|0|1,2006|2010|2014|2018
Taylor Chace,Sled Hockey,"Winnacunnet High School (Hampton N.H.) '05; University of New Hampshire Kinesiology '11",Hampton Falls,NH,40,2|0|1,2006|2010|2014
James Connelly,Sled Hockey,,Egg Harbor,,36,1|0|1,2006|2010
Ralph DeQuebec,Sled Hockey,"San Pedro High School (San Pedro Calif.) '01",Denver,CO,43,2|0|0,2018|2022
Travis Dodson,"Sled Hockey, Para Nordic Skiing",University of Illinois Urbana-Champaign,Deming,NM,40,3|0|0,2014|2018|2022|2026
David Eustace,Sled Hockey,"Stoneham High School (Stoneham Mass.)",Stoneham,MA,27,2|0|0,2022|2026
Declan Farmer,Sled Hockey,Princeton University '20,Tampa,FL,28,4|0|0,2014|2018|2022|2026
Noah Grove,Sled Hockey,Towson University '22,Frederick,MD,27,3|0|0,2018|2022|2026
Billy Hanning,Sled Hockey,,"High Ridge",MO,41,1|0|0,2018
Malik Jones,Sled Hockey,"Colorado Early College (Aurora Colo.)",Aurora,CO,23,2|0|0,2022|2026
Griffin LaMarre,Sled Hockey,West Virginia University '17,Haverville,MA,29,2|0|0,2022|2026
Nikko Landeros,Sled Hockey,"Berthoud High School (Berthoud Colo.) '08",Berthoud,CO,37,3|0|0,2010|2014|2018
Jen Lee,Sled Hockey,"University of Texas Austin '18",San Francisco,CA,39,4|0|0,2014|2018|2022|2026
Taylor Lipsett,Sled Hockey,"Poteet High School (Mesquite Texas) '05; Southern Methodist University Finance '09",Mesquite,TX,39,2|0|1,2006|2010|2014
Dan McCoy,Sled Hockey,University of Pittsburgh,Cheswich,PA,32,1|0|0,2014
Luke McDermott,Sled Hockey,"Texas Christian University Political Science '14",Westerlo,NY,38,1|0|0,2018
Kevin McKee,Sled Hockey,"Wilbur Wright College (Chicago IL) '11","Davenport",IA,36,4|0|0,2014|2018|2022|2026
Josh Misiewicz,Sled Hockey,"College of DuPage '10 (Glen Ellyn Illinois)",La Grange,IL,37,3|0|0,2018|2022|2026
Evan Nichols,Sled Hockey,"Battlefield High School (Haymarket VA)",Haymarket,VA,21,2|0|0,2022|2026
Adam Page,Sled Hockey,"St. Mary’s High School (Lancaster N.Y.) '10; Medaille College Sports Management '15",Lancaster,NY,34,3|0|0,2010|2014|2018
Josh Pauls,Sled Hockey,Lindenwood University,Green Brook,NJ,33,5|0|0,2010|2014|2018|2022|2026
Rico Roman,Sled Hockey,"Alpha High School (Gresham Ore.) '01",Portland,OR,45,3|0|0,2014|2018|2022
Paul Schaus,Sled Hockey,"Kenmore West Senior High School (Kenmore N.Y.) '06",Buffalo,NY,37,1|0|0,2014
Greg Shaw,Sled Hockey,"The Winter Sports School (Park City Utah) '09",Merritt Island,FL,36,2|0|0,2010|2014
Bubba Torres,Sled Hockey,High School,Riverside,,0,1|0|0,2010
Jack Wallace,"Sled Hockey, Paracanoe",College of New Jersey '18,Franklin Lakes,NJ,27,3|0|0,2018|2022|2026
Joseph Woodke,Sled Hockey,Lipscomb University,Nashville,TN,36,1|0|0,2022
Andy Yohe,Sled Hockey,"Bettendorf High School (Bettendorf Iowa) '97; Ashford University Business Administration '09",Bettendorf,IA,47,2|0|1,2006|2010|2014
Kyle Zych,Sled Hockey,"South Hadley High School (South Hadley Mass.) '15",South Hadley,MA,29,1|0|0,2022
