name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Shaun White,Snowboarding,"Carlsbad High School (Carlsbad Calif.)",Carlsbad,CA,39,3|0|0,2006|2010|2014|2018|2022
Brianna Schnorrbusch,Snowboarding,,Monroe Township,NJ,20,0|0|0,2026
Jamie Anderson,Snowboarding,,South Lake Tahoe,CA,35,2|1|0,2014|2018|2022
Alessandro Barbieri,Snowboarding,,Portland,OR,17,0|0|0,2026
Nick Baumgartner,Snowboarding,West Iron County High School,Iron River,MI,44,1|0|0,2010|2014|2018|2022|2026
Chase Blackwell,Snowboarding,,Longmont,CO,27,0|0|0,2026
Robert Burns,Snowboarding,University of Idaho '12,Mount Shasta,CA,35,0|0|0,2022
Jake Canter,Snowboarding,,Silverthorne,CO,22,0|0|1,2026
Jonathan Cheever,Snowboarding,"Malden Catholic High School (Malden Mass.); University of Massachusetts Lowell",Saugus,MA,41,0|0|0,2018
Kelly Clark,Snowboarding,"Mount Snow Academy (Mt. Snow Vt.)",Mammoth Lakes,CA,42,1|0|2,2002|2006|2010|2014|2018
Chris Corning,Snowboarding,,Arvada,CO,26,0|0|0,2018|2022
Danny Davis,Snowboarding,Stratton Mountain School '06,,37,0|0|0,2014
Alex Deibold,Snowboarding,Westminster College,Boulder,CO,40,0|0|1,2014
Lily Dhawornvej,Snowboarding,,Copper Mountain,CO,16,0|0|0,2026
Mick Dierdorff,Snowboarding,"Steamboat Springs High School (Steamboat Springs Colo.); University of Utah Business",Steamboat Springs,CO,35,0|0|0,2018|2022
Kaitlyn Farrington,Snowboarding,Westminster College,Sun Valley,ID,36,1|0|0,2014
Ben Ferguson,Snowboarding,"Mountain View High School (Bend Ore.) '12",Bend,OR,31,0|0|0,2018
Sean FitzSimons,Snowboarding,University of Utah,Hood River,OR,25,0|0|0,2022|2026
Lucas Foster,Snowboarding,,Telluride,CO,26,0|0|0,2022
Stacy Gaskill,Snowboarding,University of Colorado,Golden,CO,25,0|0|0,2022|2026
Red Gerard,Snowboarding,Penn Foster High School,Silverthorne,CO,25,1|0|0,2018|2022|2026
Arielle Gold,Snowboarding,"Steamboat Springs High School (Steamboat Springs Colo.); University of Colorado Boulder Veterinary Medicine",Steamboat Springs,CO,30,0|0|1,2014|2018
Taylor Gold,Snowboarding,University of Colorado,Steamboat Springs,CO,32,0|0|0,2014|2022
Dusty Henricksen,Snowboarding,Inspire Academy '20,Mammoth Lakes,CA,23,0|0|0,2022
Nate Holland,Snowboarding,"Sandpoint High School (Sandpoint Idaho) '97",Sandpoint,ID,47,0|0|0,2006|2010|2014
Lindsey Jacobellis,Snowboarding,"Stratton Mountain School '03",Roxbury,CT,40,2|1|0,2006|2010|2014|2018|2022
Jessika Jenson,Snowboarding,"Rigby High School (Rigby Idaho); Utah State University",Rigby,ID,34,0|0|0,2014|2018
Chase Josey,Snowboarding,"Community School (Sun Valley Idaho)",Sun Valley,ID,31,0|0|0,2018|2022|2026
Zoe Kalapos,Snowboarding,"Vail Ski and Snowboard Academy (Vail Colo.)",Vail,CO,29,0|0|0,2022
Hagen Kearney,Snowboarding,"Telluride Mountain School (Telluride Colo.)",Norwood,CO,34,0|0|0,2018|2022
Chloe Kim,Snowboarding,Princeton University,Torrance,CA,26,2|1|0,2018|2022|2026
Sage Kotsenburg,Snowboarding,,,32,1|0|0,2014
Hailey Langland,Snowboarding,Keith McCarthy Academy '17,San Clemente,CA,25,0|0|0,2018|2022
Kyle Mack,Snowboarding,"Brother Rice High School (Birmingham Mich.)",West Bloomfield,MI,28,0|1|0,2018
Carly Margulies,Snowboarding,Westminster College,Mammoth Lakes,CA,28,0|0|0,2022
Julia Marino,Snowboarding,,Westport,CT,28,0|1|0,2018|2022
Oliver Martin,Snowboarding,,Vail,CO,17,0|0|0,2026
Maddie Mastro,Snowboarding,Gorman Learning Center,Wrightwood,CA,26,0|0|0,2018|2022|2026
Tessa Maud,Snowboarding,Excel Academy '20,Carlsbad,CA,22,0|0|0,2022
AJ Muss,Snowboarding,"Laurel Springs Academy (Ojai California) '13",Rumson,NJ,31,0|0|0,2018
Hahna Norman,Snowboarding,,Truckee,CA,21,0|0|0,2026
Nathan Pare,Snowboarding,,Bethel,ME,21,0|0|0,2026
Jake Pates,Snowboarding,"World Academy (Eagle Colorado)",Eagle,CO,27,0|0|0,2018|2026
Hanna Percy,Snowboarding,,Truckee,CA,18,0|0|0,2026
Jess Perlmutter,Snowboarding,,Millburn,NJ,,0|0|0,2026
Iris Pflum,Snowboarding,,Minneapolis,MN,22,0|0|0,2026
Justin Reiter,Snowboarding,Colorado Mountain College,Steamboat Springs,CO,45,0|0|0,2014
