name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Paxten Aaronson,Soccer,,Medford,NJ,22,0|0|0,2024
Freddy Adu,Soccer,,Potomac,,36,0|0|0,2008
Korbin Albert,Soccer,University of Notre Dame,Grayslake,IL,22,1|0|0,2024
Taylor Booth,Soccer,,Eden,UT,24,0|0|0,2024
Morgan Brian,Soccer,"Frederica Academy (St. Simons Island Ga.) '11; University of Virginia '14 Kinesiology",Simons Island,GA,33,0|0|0,2016
Gianluca Busio,Soccer,,Greensboro,NC,23,0|0|0,2024
Jane Campbell,Soccer,"Darlington School; Stanford University '17 Psychology",Kennesaw,GA,31,0|0|1,2020
Brandi Chastain,Soccer,"University of California Berkeley; Santa Clara University '91",San Jose,CA,57,2|1|0,1996|2000|2004
Sam Coffey,Soccer,Pennsylvania State University,New York City,NY,27,1|0|0,2024
Benjamin Cremaschi,Soccer,,Miami,FL,21,0|0|0,2024
Abby Dahlkemper,Soccer,"Sacred Heart Preparatory School (Atherton Calif.) '11; University of California at Los Angeles '14 Sociology",Menlo Park,CA,32,0|0|1,2020
Tierna Davidson,Soccer,Stanford University,Menlo Park,CA,27,1|0|1,2020|2024
Maximilian Dietz,Soccer,,New York City,NY,24,0|0|0,2024
Crystal Dunn,Soccer,University of North Carolina,Rockville Centre,NY,33,1|0|1,2016|2020|2024
Whitney Engen,Soccer,"Palos Verdes Peninsula High School (Rolling Hills Estates Calif.) '06; University of North Carolina '09 Political Science",Rolling Hills Estates,CA,38,0|0|0,2016
Julie Ertz,Soccer,Santa Clara University,Mesa,AZ,34,0|0|1,2016|2020
Emily Fox,Soccer,University of North Carolina,Ashburn,VA,27,1|0|0,2024
Adrianna Franch,Soccer,"Salina South High School (Salina Kan.) '09; Oklahoma State University '12 Graphic Design Web Page Development",Salina,KS,35,0|0|1,2020
Naomi Girma,Soccer,Stanford University,San Jose,CA,25,1|0|0,2024
Mia Hamm,Soccer,,,54,2|1|0,1996|2000|2004
Nathan Harriel,Soccer,,Oldsmar,FL,25,0|0|0,2024
Tobin Heath,Soccer,"University of North Carolina '09 Communications",Basking Ridge,NJ,37,2|0|1,2008|2012|2016|2020
Lindsey Horan,Soccer,"Golden High School (Golden Colo.) '12",Golden,CO,31,1|0|1,2016|2020|2024
Meghan Klingenberg,Soccer,"Pine-Richland High School (Gibsonia Pa.) '07; University of North Carolina '11 Business Administration",Gibsonia,PA,37,0|0|0,2016
Ali Krieger,Soccer,"Forest Park Senior High School (Dumfries Va.) '03; Penn State University '07 Advertising and Public Relations",Dumfries,VA,41,0|0|0,2016
Casey Krueger,Soccer,Florida State University,Naperville,IL,35,1|0|1,2020|2024
Rose Lavelle,Soccer,"University of Wisconsin-Madison '17 Sociology",Cincinnati,OH,30,1|0|1,2020|2024
Sydney Leroux,Soccer,UCLA,Los Angeles,CA,36,1|0|0,2012
Kristine Lilly,Soccer,"Wilton High School (Wilton Conn.); University of North Carolina",Wilton,CT,54,2|1|0,1996|2000|2004
Carli Lloyd,Soccer,"Delran High School (Delran N.J.) '01; Rutgers State University '05 Exercise Science and Sport Studies",Delran,NJ,43,2|0|1,2008|2012|2016|2020
Allie Long,Soccer,"Northport High School (Northport N.Y.) '05; University of North Carolina '08 Exercise and Sports Science",Northport,NY,38,0|0|0,2016
Catarina Macario,Soccer,Stanford University,Los Angeles,CA,26,0|0|1,2020
Kathryn Markgraf,Soccer,University of Notre Dame,Bloomfield Hills,,49,2|1|0,2000|2004|2008
Jack McGlynn,Soccer,,Middle Village,NY,22,0|0|0,2024
Duncan McGuire,Soccer,Creighton Preparatory School,Omaha,NE,25,0|0|0,2024
Kristie Mewis,Soccer,"Boston College '13 Human Development",Hanson,MA,35,0|0|1,2020
Samantha Mewis,Soccer,"University of California at Los Angeles '14 English",Hanson,MA,33,0|0|1,2020
Djordje Mihailovic,Soccer,,Jacksonville,FL,27,0|0|0,2024
Alex Morgan,Soccer,University of California-Berkeley,Diamond Bar,CA,36,1|0|1,2012|2016|2020
Casey Murphy,Soccer,Rutgers University,Bridgewater,NJ,30,1|0|0,2024
Alyssa Naeher,Soccer,"Penn State University '09 Kinesiology",Stratford,CT,38,1|0|1,2016|2020|2024
Jenna Nighswonger,Soccer,Florida State University,Huntington Beach,CA,25,1|0|0,2024
Kelley O'Hara,Soccer,Stanford University,Fayetteville,GA,37,1|0|1,2012|2016|2020
Kevin Paredes,Soccer,,South Riding,VA,23,0|0|0,2024
Christen Press,Soccer,Stanford University,Palos Verdes Estates,CA,37,0|0|1,2016|2020
Megan Rapinoe,Soccer,University of Portland,Redding,CA,40,1|0|1,2012|2016|2020
Miles Robinson,Soccer,Syracuse University,Arlington,MA,29,0|0|0,2024
Trinity Rodman,Soccer,Washington State University,Newport Beach,CA,23,1|0|0,2024
Becky Sauerbrunn,Soccer,University of Virginia,St. Louis,MO,40,1|0|1,2012|2016|2020
Patrick Schulte,Soccer,Saint Louis University,St. Charles,MO,25,0|0|0,2024
Jaedyn Shaw,Soccer,,Frisco,TX,21,1|0|0,2024
Gabriel Slonina,Soccer,,Addison,IL,21,0|0|0,2024
Sophia Smith,Soccer,Stanford University,Windsor,CO,25,1|0|0,2024
Hope Solo,Soccer,"University of Washington '03 Communications",Richland,WA,44,2|0|0,2008|2012|2016
Emily Sonnett,Soccer,University of Virginia,Marietta,GA,32,1|0|1,2020|2024
Mallory Swanson,Soccer,University of California,Highlands Ranch,CO,28,1|0|0,2016|2024
Tanner Tessmann,Soccer,,Birmingham,AL,24,0|0|0,2024
John Tolkin,Soccer,Chatham High School,Chatham,NJ,23,0|0|0,2024
Abby Wambach,Soccer,University of Florida,Rochester,NY,45,2|0|0,2004|2012
Caleb Wiley,Soccer,,Atlanta,GA,21,0|0|0,2024
Lynn Williams,Soccer,Pepperdine University,Fresno,CA,32,1|0|1,2020|2024
Griffin Yow,Soccer,,Cliffton,VA,23,0|0|0,2024
Walker Zimmerman,Soccer,Furman University,Lawrenceville,GA,32,0|0|0,2024
