name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Monica Abbott,Softball,"North Salinas High School; Tennessee - 2007",Salinas,CA,40,0|2|0,2008|2020
Ali Aguilar,Softball,Washington - 2017,Orangevale,CA,30,0|1|0,2020
Christie Ambrosi,Softball,"Blue Valley Northwest High School; UCLA",Overland Park,,49,1|0|0,2000
Valerie Arioto,Softball,"Foothill High School; California - 2012",Pleasanton,CA,37,0|1|0,2020
Laura Berg,Softball,"Santa Fe Springs High School; Fresno State",Santa Fe Springs,CA,51,3|1|0,1996|2000|2004|2008
Gillian Boxx,Softball,University of California Berkeley,Torrance,CA,52,1|0|0,1996
Jennifer Brundage,Softball,UCLA,Ann Arbor,MI,52,1|0|0,2000
Ally Carda,Softball,UCLA - 2015,Elk Grove,CA,33,0|1|0,2020
Amanda Chidester,Softball,Michigan - 2012,Ann Arbor,MI,36,0|1|0,2020
Sheila Cornell Douty,Softball,UCLA - 1984,Diamond Bar,CA,64,0|0|0,1996|2000
Andrea Duran,Softball,UCLA - 2006,Selma,,42,0|1|0,2008
Lisa Fernandez,Softball,"Saint Joseph High School (Long Beach Calif.); UCLA",Long Beach,CA,55,3|0|0,1996|2000|2004
Jennie Finch,Softball,University of Arizona,La Mirada,CA,45,1|1|0,2004|2008
Tairia Flowers,Softball,UCLA - 2005,Tucson,AZ,45,1|1|0,2004|2008
Amanda Freed,Softball,UCLA - 2002,Cypress,CA,46,1|0|0,2004
Vicky Galindo,Softball,California - 2005,Union City,CA,42,0|1|0,2008
Rachel Garcia,Softball,"Highland High School; UCLA - 2020",Palmdale,CA,29,0|1|0,2020
Peyton Hall,Softball,South Carolina,Prairie du Chien,WI,28,0|0|0,
Lori Harrigan,Softball,UNLV - 1993,Las Vegas,,55,3|0|0,1996|2000|2004
Danielle Henderson,Softball,UMass - 1999,Commack,NY,49,1|0|0,2000
Lovieanne Jung,Softball,Arizona - 2003,Fountain Valley,CA,46,1|1|0,2004|2008
Kelly Kretschman,Softball,Alabama - 2001,Indian Harbour Beach,FL,46,1|1|0,2004|2008
Lauren Lappin,Softball,Stanford - 2006,Anaheim,CA,41,0|1|0,2008
Caitlin Lowe,Softball,Arizona - 2007,Tustin,CA,41,0|1|0,2008
Haylie McCleney,Softball,"Mortimer Jordan High School; Alabama - 2016",Morris,AL,31,0|1|0,2020
Jennifer McFalls,Softball,Texas A&M - 1994,Grand Prairie,TX,54,1|0|0,2000
Dejah Mulipola,Softball,"Pacifica High School; Arizona - 2020",Anaheim,CA,28,0|1|0,2020
Aubree Munro,Softball,"Brea Olinda High School; Florida - 2016",Brea,CA,32,0|1|0,2020
Bubba Nickles,Softball,"Merced High School; UCLA - 2020",Merced,CA,28,0|1|0,2020
Danielle O'Toole,Softball,"St. Lucy’s High School; Arizona - 2017",Upland,CA,31,0|0|0,2020
Cat Osterman,Softball,Texas - 2006,Houston,TX,43,1|2|0,2004|2008|2020
Janie Reed,Softball,"El Dorado High School; Oregon - 2015",Placentia,CA,33,0|1|0,2020
Sydney Romero,Softball,Oklahoma - 2019,Temecula,CA,29,0|0|0,2020
Delaney Spaulding,Softball,"Etiwanda High School; UCLA - 2017",Rancho Cucamonga,CA,31,0|1|0,2020
Kelsey Stewart,Softball,"Maize High School; Florida - 2016",Wichita,KS,31,0|1|0,2020
