name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Maame Biney,Speedskating,University of Utah,Reston,VA,26,0|0|0,2018|2022
Giorgia Birkeland,Speedskating,Salt Lake Community College,White Bear Lake,MN,23,0|0|0,2022|2026
Bonnie Blair,Speedskating,Centennial High School (Champaign Ill.),Champaign,IL,62,5|0|1,1984|1988|1992|1994
Brittany Bowe,Speedskating,Florida Atlantic University,Ocala,FL,38,0|0|2,2014|2018|2022|2026
J.R. Celski,Speedskating,,Federal Way,WA,35,0|1|2,2010|2014|2018
Ethan Cepuran,Speedskating,University of Utah,Glen Ellyn,IL,25,0|1|1,2022|2026
Casey Dawson,Speedskating,University of Utah,Park City,UT,25,0|1|1,2022|2026
Clayton DeClemente,Speedskating,,Poughkeepsie,NY,26,0|0|0,2026
Kimi Goetz,Speedskating,,Flemington,NJ,31,0|0|0,2022
Kelly Gunther,Speedskating,,Clinton Township,MI,38,0|0|0,2014
Eric Heiden,Speedskating,"Madison West High School (Madison Wis.); University of Wisconsin; Stanford Medical School",Madison,WI,67,5|0|0,1976|1980
Andrew Heo,"Speedskating, Short Track Speedskating",University of Utah,Warrington,PA,25,0|0|0,2022|2026
Erin Jackson,Speedskating,University of Florida,Ocala,FL,33,1|0|0,2018|2022|2026
Dan Jansen,Speedskating,West Allis Central High School (West Allis Wis.),West Allis,WI,60,1|0|0,1984|1988|1992|1994
Brandon Kim,"Speedskating, Short Track Speedskating",Stanford University,Fairfax,VA,24,0|0|0,2026
Austin Kleba,Speedskating,Salt Lake Community College,Campton Hills,IL,26,0|0|0,2022
Eunice Lee,"Speedskating, Short Track Speedskating",Duke University,Bellevue,WA,21,0|0|0,2026
Emery Lehman,Speedskating,Marquette University,Oak Park,IL,29,0|1|1,2014|2018|2022|2026
Julie Letai,Speedskating,University of Utah,Medfield,MA,25,0|0|0,2022|2026
Kamryn Lute,"Speedskating, Short Track Speedskating",University of Utah,New York,NY,21,0|0|0,2026
Mia Manganello,Speedskating,,Crestview,FL,36,0|0|2,2018|2022|2026
Joey Mantia,Speedskating,,Ocala,FL,40,0|0|1,2014|2018|2022
Conor McDermott-Mostowy,Speedskating,Macalester College,"Washington, D.C.",DC,27,0|0|0,2026
Cooper McLeod,Speedskating,Salt Lake City Community College,Burlington,WA,24,0|0|0,2026
Greta Myers,Speedskating,,Lino Lakes,MN,21,0|0|0,2026
Apolo Anton Ohno,Speedskating,"Decatur High School; University of Colorado Colorado Springs",Seattle,WA,43,2|2|4,2002|2006|2010
Ryan Pivirotto,Speedskating,,Ann Arbor,MI,30,0|0|0,2022
Ian Quinn,Speedskating,University of Utah,St. Louis,MO,32,0|0|0,2022
Kristen Santos-Griswold,"Speedskating, Short Track Speedskating",University of Utah,Fairfield,CT,31,0|0|0,2022|2026
Jack Shea,Speedskating,"Lake Placid High School (Lake Placid N.Y.); Dartmouth College",Lake Placid,NY,91,2|0|0,1932
Corinne Stoddard,"Speedskating, Short Track Speedskating",University of Utah,Tacoma,WA,24,0|0|1,2022|2026
Jordan Stolz,Speedskating,,Kewaskum,WI,21,2|1|0,2022|2026
Zach Stoppelmoor,Speedskating,,West Des Moines,IA,27,0|0|0,2026
Sarah Warren,Speedskating,"University of Illinois Urbana-Champaign B.S.; Johns Hopkins University M.E.",Willowbrook,IL,29,0|0|0,2026
