name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Katie Ledecky,Swimming,Stanford University,Bethesda,MD,29,9|4|1,2012|2016|2020|2024
Michael Phelps,Swimming,"Towson High School; University of Michigan",Towson,MD,40,23|3|2,2000|2004|2008|2012|2016
Cammile Adams,Swimming,"Cypress Woods High School; Texas A&M University",Cypress,TX,34,0|0|0,2012|2016
Nathan Adrian,Swimming,"Bremerton High School; University of California Berkeley",Bremerton,WA,37,5|1|2,2008|2012|2016
Jack Alexy,Swimming,University of California Berkeley,Morristown,NJ,23,1|1|0,2024
Haley Anderson,Swimming,"Granite Bay High School; University of Southern California",Granite Bay,CA,34,0|1|0,2012|2016|2020
Michael Andrew,Swimming,,Encinitas,CA,27,1|0|0,2020
Zach Apple,Swimming,"Indiana University '19 Exercise Science",Trenton,OH,29,2|0|0,2020
Hunter Armstrong,Swimming,"Dover High School; Ohio State University",Dover,OH,25,2|1|0,2020|2024
Shirley Babashoff,Swimming,Fountain Valley High School,Fountain Valley,CA,69,3|6|0,1972|1976
Phoebe Bacon,Swimming,University of Wisconsin,Chevy Chase,MD,23,0|0|0,2020|2024
Kathleen Baker,Swimming,"Forsyth Country Day School; University of California Berkeley",Winston Salem,NC,29,1|1|0,2016
Will Barao,Swimming,"Hingham High School; University of Notre Dame",Hingham,MA,25,0|0|0,
Bowe Becker,Swimming,"Faith Lutheran High School; University of Minnesota",Reno,NV,28,1|0|0,2020
Elizabeth Beisel,Swimming,"North Kingstown High School; University of Florida",Saunderstown,RI,33,0|1|1,2008|2012|2016
Gunnar Bentz,Swimming,University of Georgia,Atlanta,GA,30,1|0|0,2016|2020
Katharine Berkoff,Swimming,North Carolina State University,Missoula,MT,25,1|0|1,2024
Matt Biondi,Swimming,"Campolindo High School; University of California Berkeley; Lewis & Clark College",Moraga,CA,60,8|2|1,1984|1988|1992
Patrick Callan,Swimming,University of Michigan,Tulsa,OK,26,0|0|0,2020
Shaine Casas,Swimming,Texas A&M University,McAllen,TX,26,0|0|0,2024
Tracy Caulkins,Swimming,"Harpeth Hall School; University of Florida",Nashville,TN,63,3|0|0,1984
Tyler Clary,Swimming,"Riverside Polytechnic High School; University of Michigan",Riverside,CA,37,1|0|0,2012
Jack Conger,Swimming,"Our Lady of Good Counsel High School; University of Texas",Rockville,MD,31,1|0|0,2016
Erika Connolly,Swimming,University of Tennessee,Modesto,CA,27,0|2|1,2020|2024
Kevin Cordes,Swimming,"Neuqua Valley High School; University of Arizona",Naperville,IL,32,1|0|0,2016
Natalie Coughlin,Swimming,UC Berkeley,Vallejo,CA,43,3|4|5,2004|2008|2012
Brooks Curry,Swimming,"Rivers Academy; Louisiana State University",Dunwoody,GA,25,1|1|0,2020|2024
Claire Curzan,Swimming,Cardinal Gibbons,Cary,NC,21,0|1|0,2020
Ethan Dang,Swimming,Hazen High School,Renton,WA,24,0|0|0,
Charles Daniels,Swimming,,Dayton,OH,88,4|1|2,1904|1908
Catie DeLoof,Swimming,University of Michigan,Grosse Point,MI,29,0|0|1,2020
Mariah Denigan,Swimming,Barren Academy of Virtual and Expanded Learning,Walton,KY,22,0|0|0,2024
Maya DiRado,Swimming,"Maria Carrillo High School; Stanford University",San Francisco,CA,33,2|1|1,2016
Maddie Donohoe,Swimming,"Bishop O'Connell High School; University of Virginia",Annandale,VA,24,0|0|0,
Kate Douglass,Swimming,University of Virginia,Pelham,NY,24,2|2|1,2020|2024
Caeleb Dressel,Swimming,University of Florida,Green Cove Springs,FL,29,9|1|0,2016|2020|2024
Conor Dwyer,Swimming,"Loyola Academy; University of Florida",Winnetka,IL,37,2|0|1,2012|2016
Anthony Ervin,Swimming,"William S. Hart High School; University of California Berkeley",Valencia,CA,44,3|1|0,2000|2012|2016
Janet Evans,Swimming,"El Dorado High School; University of Southern California",Fullerton,CA,54,4|1|0,1988|1992|1996
Matt Fallon,Swimming,,Warren,NJ,23,0|0|0,2024
Jimmy Feigen,Swimming,"Churchill High School; University of Texas",San Antonio,TX,36,1|1|0,2012|2016
Nic Fink,Swimming,University of Georgia,Morristown,NJ,32,1|2|0,2020|2024
Bobby Finke,Swimming,University of Florida,Clearwater,FL,26,3|1|0,2020|2024
Hali Flickinger,Swimming,University of Georgia,Spring Grove,PA,31,0|0|2,2016|2020
Brooke Forde,Swimming,"Sacred Heart Academy; Stanford University",Louisville,KY,27,0|1|0,2020
Carson Foster,Swimming,University of Texas at Austin,Cincinnati,OH,24,0|1|1,2024
Missy Franklin,Swimming,"Regis Jesuit High School; University of California Berkeley",Centennial,CO,31,5|0|1,2012|2016
Rowdy Gaines,Swimming,"Winter Haven High School; Auburn University",Winter Haven,FL,67,3|0|0,1984
Andrew Gemmell,Swimming,University of Georgia,Wilmington,,35,0|0|0,2012
Erin Gemmell,Swimming,,Bethesda,MD,21,0|1|0,2024
Scott Goldblatt,Swimming,University of Texas at Austin,Scotch Plains,,46,1|1|0,2000|2004
Matt Grevers,Swimming,"Lake Forest High School; Northwestern University",Lake Forest,IL,41,4|2|0,2008|2012
Katie Grimes,Swimming,Undecided,Las Vegas,NV,20,0|1|0,2020|2024
Chris Guiliano,Swimming,University of Notre Dame,Douglassville,PA,22,1|1|0,2024
Townley Haas,Swimming,"Benedictine College Preparatory School; University of Texas",Henrico,VA,29,1|0|0,2016|2020
Gary Hall Jr.,Swimming,Brophy College Preparatory,Phoenix,AZ,51,5|3|2,1996|2000|2004
Molly Hannis,Swimming,"Santa Rosa High School; University of Tennessee",Santa Rosa,CA,34,0|0|0,2016
Ethan Harder,Swimming,"Homeschool; University of Texas",Billings,MT,25,0|0|0,
Jessica Hardy,Swimming,Long Beach Wilson High School,Long Beach,CA,39,1|0|1,2012
Zach Harting,Swimming,"University of Louisville '19 Mechanical Engineering",Madison,AL,28,0|0|0,2020
