name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Nia Abdallah,Taekwondo,"George Washington Carver High School for Applied Technology Engineering and the Arts; American Sports University",Houston,TX,42,0|1|0,2004
Elva Adams,Taekwondo,University of Texas at San Antonio (BBA Accounting),,,0|0|0,
Garth A. Cooley,Taekwondo,"Phoenix Central High School '85; University of Indianapolis '89",Indianapolis,,58,0|0|0,
Charlotte Craig,Taekwondo,Mt. San Jacinto College,Murrieta,CA,35,0|0|0,2008
Faith Dillon,Taekwondo,DeVry University,Las Vegas,NV,23,0|0|0,2024
Jackie Galloway,Taekwondo,"Wylie High School (Wylie Texas) '14; Southern Methodist University Mechanical Engineering",Wylie,TX,30,0|0|1,2016
Jonathan Healy,Taekwondo,Liberty University,Spring,TX,,0|0|0,
Terrence Jennings,Taekwondo,"T.C. Williams High School (Alexandria Va.); Northern Virginia Community College",Alexandria,VA,39,0|0|1,2012
Erica Linthorst,Taekwondo,"Fieldston High School (Riverdale NY) '65; University of Iowa '69 BA Portuguese and French",Mt. Vernon,NY,79,0|0|0,
Paige McPherson,Taekwondo,"Black Hills Classical Christian Academy; Miami-Dade College",Sturgis,SD,35,0|0|1,2012|2016|2020
CJ Nickolas,Taekwondo,DeVry University,Brentwood,CA,24,0|0|0,2024
Kristina Teachout,Taekwondo,,Palm Bay,FL,,0|0|1,2024
Kendall Yount,Taekwondo,The Frankfort Christian Academy (Frankfort Ky.),Owenton,,27,0|0|0,
Anastasija Zolotic,Taekwondo,,Colorado Springs,CO,23,1|0|0,2020
