name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Drew Baird,Tennis,IMG Academy (Bradenton Fla.) '19,Holly Springs,NC,25,0|0|0,
Brian Baker,Tennis,"Hillwood High School (Nashville Tenn.) '03; Belmont University '15 Business",Nashville,TN,41,0|0|0,2016
Jennifer Brady,Tennis,University of California,Boca Raton,FL,31,0|0|0,2020
Bob Bryan,Tennis,"Mesa High School (Oxnard Calif.) '96; Stanford University '98",Wesley Chapel,FL,48,1|0|1,2004|2008|2012
Mike Bryan,Tennis,"Rio Mesa High School (Oxnard Calif.) '96; Stanford University '98 Business Administration",Wesley Chapel,FL,48,1|0|2,2004|2008|2012
Danielle Collins,Tennis,University of Virginia,St. Petersburg,FL,,0|0|0,2024
Chris Eubanks,Tennis,Georgia Tech,Atlanta,GA,30,0|0|0,2024
Taylor Fritz,Tennis,,Rancho Palos Verdes,CA,28,0|0|1,2024
Coco Gauff,Tennis,,Delray Beach,FL,22,0|0|0,2024
Marcos Giron,Tennis,"University of California, Los Angeles",Thousand Oaks,CA,32,0|0|0,2020|2024
Steve Johnson,Tennis,"Orange High School (Orange Calif.) '08; University of Southern California '12 Human Performance",Orange,CA,36,0|0|1,2016
Madison Keys,Tennis,"Homeschooled, Kaplan Virtual Education",Boca Raton,FL,31,0|0|0,2016
Austin Krajicek,Tennis,Texas A&M University '11,Brandon,FL,35,0|1|0,2020|2024
Desirae Krawczyk,Tennis,Arizona State University,Palm Desert,CA,32,0|0|0,2024
Denis Kudla,Tennis,"Homeschooled, Junior Tennis Champions Center",Arlington,VA,33,0|0|0,2016
Lea Ma,Tennis,IMG Academy (Bradenton Fla.) '20,Dix Hills,NY,25,0|0|0,
Bethanie Mattek-Sands,Tennis,Homeschooled,Phoenix,AZ,41,1|0|0,2016|2020
Nicole Melichar,Tennis,Arizona Virtual Academy,Stuart,FL,32,0|0|0,2020
Emma Navarro,Tennis,,Charleston,SC,24,0|0|0,2024
Alexa Noel,Tennis,Laurel Springs Online School '20,Summit,NJ,23,0|0|0,
Tommy Paul,Tennis,,Greenville,NC,28,0|0|1,2020|2024
Jessica Pegula,Tennis,University of Pittsburgh,Buffalo,NY,32,0|0|0,2020|2024
Rajeev Ram,Tennis,University of Illinois,Carmel,IN,42,0|2|0,2016|2020|2024
Alison Riske,Tennis,Pennsylvania Cyber Charter School,Pittsburgh,PA,35,0|0|0,2020
Tennys Sandgren,Tennis,University of Tennessee,Gallatin,TN,34,0|0|0,2020
Jack Sock,Tennis,"Blue Valley High School (Stilwell Kan.) '11",Kansas City,KS,33,1|0|1,2016
Sloane Stephens,Tennis,Homeschooled,Coral Springs,FL,33,0|0|0,2016
Frances Tiafoe,Tennis,,Boynton Beach,FL,28,0|0|0,2020
CoCo Vandeweghe,Tennis,"La Costa Canyon (Carlsbad Calif.) '10",Rancho Santa Fe,CA,34,0|0|0,2016
Venus Williams,Tennis,"Driftwood Academy (Lake Park Fla.) '98; Indiana University East '15 Business Administration",Palm Beach Gardens,FL,45,4|1|0,2000|2004|2008|2012|2016
Serena Williams,Tennis,"Driftwood Academy (Lake Park Fla.) '99; University of Massachusetts '13 Business/Health",Palm Beach Gardens,FL,44,4|0|0,2000|2008|2012|2016
