name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Sha'Carri Richardson,Track and Field,Louisiana State University,Dallas,TX,26,1|1|0,2024
Gabby Thomas,Track and Field,Harvard University,Atlanta,GA,29,3|1|1,2020|2024
Abdi Abdirahman,Track and Field,"Tucson High School; Pima Community College; University of Arizona, Retail and Consumer Study",Tucson,AZ,49,0|0|0,2000|2004|2008|2012|2020
Amy Acuff,Track and Field,University of California--Los Angeles,Isleton,CA,50,0|0|0,1996|2000|2004|2008|2012
Brad Adkins,Track and Field,"Texas Tech University '16, Wind Energy",Idalou,TX,32,0|0|0,2016
Morolake Akinosun,Track and Field,"University of Texas '16, Exercise Science",Aurora,IL,31,1|0|0,2016
Nia Akins,Track and Field,University of Pennsylvania,San Diego,CA,27,0|0|0,2024
Nia Ali,Track and Field,University of Southern California,Philadelphia,PA,37,0|1|0,2016
CJ Allen,Track and Field,"Washington State University '18; LIFE University '23",Pullman,WA,31,0|0|0,2024
Devon Allen,Track and Field,"University of Oregon '18, Business Administration",Phoenix,AZ,31,0|0|0,2016|2020
Valarie Allman,Track and Field,"Stanford University '17, Product Design",Longmont,CO,31,2|0|0,2020|2024
Brooke Andersen,Track and Field,Northern Arizona University '18,Vista,CA,30,0|0|0,2020
Robby Andrews,Track and Field,"University of Virginia '14, Kinesiology",Manalapan Township,NJ,35,0|0|0,2016
Adelaide Aquilla,Track and Field,Ohio State University,Westlake,OH,27,0|0|0,2020
Ronnie Ash,Track and Field,"University of Oklahoma '10, Sociology",Passaic,NJ,37,0|0|0,2016
Evelyn Ashford,Track and Field,UCLA,Roseville,CA,69,4|1|0,1976|1984|1988|1992
Chris Bailey,Track and Field,University of Arkansas,Atlanta,GA,25,1|0|0,2024
Tavis Bailey,Track and Field,"University of Tennessee '16, Sport Management",Kannapolis,NC,34,0|0|0,2016
Ronnie Baker,Track and Field,Texas Christian University,Louisville,KY,32,0|0|0,2020
Heath Baldwin,Track and Field,Michigan State University '24,Kalamazoo,MI,25,0|0|0,2024
Tianna Bartoletta,Track and Field,"University of Tennessee '07, Social Work",Tampa,FL,40,3|0|0,2012|2016
Trevor Bassitt,Track and Field,Ashland University,Bluffton,OH,28,0|0|0,2024
Steven Bastien,Track and Field,University of Michigan,Saline,MI,32,0|0|0,2020
Anavia Battle,Track and Field,Ohio State University,Inkster,MI,27,0|0|0,2020
Bob Beamon,Track and Field,North Carolina Agricultural and Technical College,Jamaica,NY,79,1|0|0,1968
Kenny Bednarek,Track and Field,Indian Hills Community College,Rice Lake,WI,27,0|2|0,2020|2024
Rai Benjamin,Track and Field,University of Southern California,Mount Vernon,NY,28,3|1|0,2020|2024
Joan Benoit,Track and Field,"North Carolina State University; Bowdoin College",Cape Elizabeth,ME,68,1|0|0,1984
Gwen Berry,Track and Field,Southern Illinois University,St. Louis,MO,36,0|0|0,2016|2020
Ben Blankenship,Track and Field,"University of Minnesota '11, American Studies",Stillwater,MN,37,0|0|0,2016
Hillary Bor,Track and Field,Iowa State University,Colorado Springs,CO,36,0|0|0,2016|2020
Ralph Boston,Track and Field,Tennessee State University,Laurel,MS,83,1|1|1,1960|1964|1968
Tori Bowie,Track and Field,"University of Southern Mississippi '12, Interdisciplinary Studies",Sandhill,MS,32,1|1|1,2016
Marvin Bracy,Track and Field,Florida State University,Orlando,FL,32,0|0|0,2016
Trayvon Bromell,Track and Field,Baylor University,St. Petersburg,FL,30,0|0|0,2016|2020
Taliyah Brooks,Track and Field,University of Arkansas,Wichita Falls,TX,,0|0|0,2024
Kaylyn Brown,Track and Field,University of Arkansas,Charlotte,NC,21,1|1|0,2024
Brittany Brown,Track and Field,University of Iowa,Claremont,CA,31,0|0|1,2024
Aaliyah Butler,Track and Field,University of Georgia,Fort Lauderdale,FL,22,1|0|0,2024
Donn Cabral,Track and Field,"Princeton University '12, Economics",Glastonbury,CT,36,0|0|0,2012|2016
Lee Calhoun,Track and Field,North Carolina Central College,Laurel,MS,56,2|0|0,1956|1960
Milt Campbell,Track and Field,Indiana University,Plainfield,NJ,78,1|1|0,1952|1956
Michelle Carter,Track and Field,"University of Texas '17, Youth and Community Studies",Red Oak,TX,40,1|0|0,2008|2012|2016
Matt Centrowitz,Track and Field,University of Oregon,Arnold,MD,36,1|0|0,2012|2016|2020
Paul Chelimo,Track and Field,University of North Carolina,Beaverton,OR,35,0|1|1,2016|2020
Michael Cherry,Track and Field,Louisiana State University,Chesapeake,VA,31,1|0|0,2020
Will Claye,Track and Field,University of Florida,Phoenix,AZ,34,0|2|1,2012|2016|2020
Kerron Clement,Track and Field,University of Florida,LaPorte,TX,40,2|1|0,2008|2012|2016
Christina Clemons,Track and Field,Ohio State University,Landover,MD,35,0|0|0,2020
Alice Coachman,Track and Field,"Albany State College; Tuskegee University",Albany,GA,91,1|0|0,1948
Emma Coburn,Track and Field,University of Colorado,Crested Butte,CO,35,0|0|1,2012|2016|2020
Anna Cockrell,Track and Field,"University of Southern California '19, Communications",Charlotte,NC,28,0|1|0,2020|2024
Christian Coleman,Track and Field,University of Tennessee '18,Atlanta,GA,30,0|0|0,2016|2024
Ryan Crouser,Track and Field,University of Texas,Boring,OR,33,3|0|0,2016|2020|2024
Vashti Cunningham,Track and Field,Bishop Gorman High School,Las Vegas,NV,28,0|0|0,2016|2020|2024
Teahna Daniels,Track and Field,University of Texas,Orlando,FL,29,0|1|0,2020
Glenn Davis,Track and Field,Ohio State University,Barberton,OH,74,3|0|0,1956|1960
Tara Davis-Woodhall,Track and Field,University of Texas at Austin,Agoura Hills,CA,26,1|0|0,2020|2024
Bryce Deadmon,Track and Field,Texas A&M University,Missouri City,TX,29,2|1|1,2020|2024
Gail Devers,Track and Field,UCLA,National City,CA,59,3|0|0,1988|1992|1996|2004
Harrison Dillard,Track and Field,Baldwin-Wallace College,Cleveland,OH,96,4|0|0,1948|1952
Ashton Eaton,Track and Field,"University of Oregon '10, Psychology",Bend,OR,38,2|0|0,2012|2016
Annette Echikunwoke,Track and Field,University of Cincinnati,Pickerington,OH,29,0|1|0,2024
Kendall Ellis,Track and Field,University of Southern California,North Hollywood,CA,30,1|0|1,2020|2024
Lee Evans,Track and Field,San Jose State University,San Jose,CA,74,2|0|0,1968
Ray Ewry,Track and Field,Purdue University,Lafayette,IN,63,8|0|0,1900|1904|1908
Allyson Felix,Track and Field,"University of Southern California '07, Elementary Education",Los Angeles,CA,40,7|3|1,2004|2008|2012|2016|2020
Grant Fisher,Track and Field,"Stanford University '19, Electrical Engineering",Grand Blanc,MI,29,0|0|2,2020|2024
Shalane Flanagan,Track and Field,"University of North Carolina – Chapel Hill '05, History",Marblehead,MA,44,0|1|0,2004|2008|2012|2016
Dick Fosbury,Track and Field,Oregon State University,Medford,OR,76,1|0|0,1968
Courtney Frerichs,Track and Field,"University of New Mexico '17, Community Health Education",Nixa,MO,33,0|1|0,2016|2020
English Gardner,Track and Field,"University of Oregon '13, Social Sciences",Willingboro,NJ,34,1|1|0,2016|2020
Justin Gatlin,Track and Field,"University of Tennessee '02, Psychology",Woodham,FL,44,1|2|2,2004|2012|2016
Tyson Gay,Track and Field,"University of Arkansas '05, Marketing",Lexington,KY,43,0|0|0,2008|2012|2016
Florence Griffith Joyner,Track and Field,UCLA,Long Beach,CA,38,3|2|0,1984|1988
Quincy Hall,Track and Field,University of South Carolina,Kansas City,MO,27,1|0|0,2024
Anna Hall,Track and Field,University of Florida,Greenwood Village,CO,25,0|0|0,2024
Dawn Harper-Nelson,Track and Field,UCLA,St. Louis,IL,41,1|1|0,2008|2012
Keni Harrison,Track and Field,University of Kentucky,Clayton,NC,33,0|1|0,2020
JuVaughn Harrison,Track and Field,"Louisiana State University, Biomedical Engineering",Huntsville,AL,27,0|0|0,2020|2024
Natasha Hastings,Track and Field,"University of South Carolina '09, Exercise Science",Brooklyn,NY,39,2|0|0,2008|2016
Bob Hayes,Track and Field,Florida A&M University,Jacksonville,FL,59,2|0|0,1964
Nikki Hiltz,Track and Field,University of Arkansas,Santa Cruz,CA,31,0|0|0,2024
Aleia Hobbs,Track and Field,Louisiana State University,New Orleans,LA,30,0|1|0,2020
Cole Hocker,Track and Field,University of Oregon,Indianapolis,IN,24,1|0|0,2020|2024
Grant Holloway,Track and Field,University of Florida,Chesapeake,VA,28,1|1|0,2020|2024
Bryce Hoppel,Track and Field,University of Kansas,Midland,TX,28,0|0|0,2020|2024
Molly Huddle,Track and Field,"University of Notre Dame '06, Biology",Elmira,NY,41,0|0|0,2012|2016
Lynna Irby,Track and Field,University of Georgia,Indianapolis,IN,27,1|0|1,2020
Melissa Jefferson,Track and Field,Coastal Carolina University,Hemingway,SC,25,1|0|1,2024
