name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Greg Billington,Triathlon,RAF Lakenheath High School,Spokane,WA,36,0|0|0,2016
Sarah Haskins,Triathlon,University of Tulsa,St. Louis,MO,45,0|0|0,2008
Gwen Jorgensen,Triathlon,University of Wisconsin,St. Paul,MN,40,1|0|0,2012|2016
Ben Kanute,Triathlon,Marmion Academy,Geneva,IL,33,0|0|0,2016
Kirsten Kasper,Triathlon,North Andover High School,North Andover,MA,34,0|0|0,2024
Hunter Kemper,Triathlon,Wake Forest University,Colorado Springs,CO,50,0|0|0,2000|2004|2008|2012
Taylor Knibb,Triathlon,Cornell University,"Washington, D.C.",MD,28,0|2|0,2020|2024
Barb Lindquist,Triathlon,Stanford University,Alta,WY,56,0|0|0,2004
Joe Maloy,Triathlon,Wildwood Catholic High School,Wildwood Crest,NJ,40,0|0|0,2016
Kevin McDowell,Triathlon,"Geneva High School; University of Colorado Colorado Springs",Colorado Springs,CO,33,0|1|0,2020
Morgan Pearson,Triathlon,University of Colorado at Boulder,New Vernon,NJ,32,0|2|0,2020|2024
Victor Plata,Triathlon,Cal Poly – San Luis Obispo,Santa Cruz,CA,53,0|0|0,2004
Andy Potts,Triathlon,University of Michigan,Princeton,NJ,49,0|0|0,2004
Summer Rappaport,Triathlon,Villanova,Thornton,CO,34,0|0|0,2020
Matthew Reed,Triathlon,,Boulder,,50,0|0|0,2008
Seth Rider,Triathlon,Queens University of Charlotte,Germantown,TN,29,0|1|0,2024
Jarrod Shoemaker,Triathlon,Dartmouth College,Sudbury,MA,43,0|0|0,2008
Taylor Spivey,Triathlon,California Polytechnic State University,Redondo Beach,CA,35,0|1|0,2024
Sarah True,Triathlon,"Cooperstown High School (Cooperstown NY); Middlebury College '04 Conservation Biology/Studio Art",Hanover,NH,44,0|0|0,2012|2016
Susan Williams,Triathlon,"University of Alabama (undergraduate); University of Colorado (graduate)",Littleton,CO,56,0|0|1,2004
Katie Zaferes,Triathlon,Syracuse University,Santa Cruz,CA,36,0|1|1,2016|2020
Joanna Zeiger,Triathlon,Brown University,Baltimore,MD,56,0|0|0,2000
