name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Tumua Anae,Water Polo,USC '10,Newport Beach,,37,1|0|0,2012
Emily Ausmus,Water Polo,University of Southern California,Riverside,CA,20,0|0|0,2024
Tony Azevedo,Water Polo,"Wilson High School (Long Beach Calif.) '00; Stanford University '05 International Relations",Long Beach,CA,44,0|1|0,2000|2004|2008|2012|2016
McQuin Baron,Water Polo,"Mater Dei High School (Santa Ana Calif.) '14; University of Southern California '18 Business",North Tustin,CA,30,0|0|0,2016
Bret Bonanni,Water Polo,"Mater Dei High School (Santa Ana Calif.) '12; Stanford University '16 Science Technology and Society",Huntington Beach,CA,32,0|0|0,2016
Alex Bowen,Water Polo,Stanford University '15 Product Design,Santee,CA,32,0|0|1,2016|2020|2024
KK Clark,Water Polo,"Sacred Heart Preparatory School (Atherton Calif.) '08; University of California Los Angeles '12 History",Atherton,CA,35,1|0|0,2016
Kami Craig,Water Polo,"Santa Barbara High School (Santa Barbara Calif.) '05; University of Southern California '10 Sociology",Santa Barbara,CA,38,2|1|0,2008|2012|2016
Luca Cupido,Water Polo,University of California,Santa Margherita,CA,30,0|0|1,2016|2020|2024
Hannes Daube,Water Polo,University of Southern California,Long Beach,CA,26,0|0|1,2020|2024
Ryder Dodd,Water Polo,University of California Los Angeles,Long Beach,CA,20,0|0|1,2024
Chase Dodd,Water Polo,University of California Los Angeles,Long Beach,CA,23,0|0|1,2024
Thomas Dunstan,Water Polo,"Mater Dei High School (Santa Ana Calif.) '16; University of Southern California '20 Undeclared",New Canaan,CT,28,0|0|0,2016
Rachel Fattal,Water Polo,University of California Los Angeles,Seal Beach,CA,32,2|0|0,2016|2020|2024
Aria Fischer,Water Polo,Stanford University,Laguna Beach,CA,27,2|0|0,2016|2020
Makenzie Fischer,Water Polo,Stanford University,Laguna Beach,CA,29,2|0|0,2016|2020
Jenna Flynn,Water Polo,Stanford University,San Jose,CA,21,0|0|0,2024
Kaleigh Gilchrist,Water Polo,University of Southern California,Newport Beach,CA,33,2|0|0,2016|2020|2024
Ben Hallock,Water Polo,Stanford University,Studio City,CA,28,0|0|1,2016|2020|2024
Stephania Haralabidis,Water Polo,University of Southern California,Athens,,30,1|0|0,2020
Paige Hauschild,Water Polo,University of Southern California,Santa Barbara,CA,26,1|0|0,2020
Sami Hill,Water Polo,"Dos Pueblos High School (Newport Beach Calif.) '11; University of California Los Angeles '15 History",Santa Barbara,CA,33,1|0|0,2016
Drew Holland,Water Polo,Stanford University,Orinda,CA,31,0|0|1,2020|2024
Johnny Hooper,Water Polo,University of California,Los Angeles,CA,28,0|0|1,2020|2024
Max Irving,Water Polo,University of California Los Angeles,Long Beach,CA,30,0|0|1,2020|2024
Ashleigh Johnson,Water Polo,Princeton University,Miami,FL,31,2|0|0,2016|2020|2024
Duke Kahanamoku,"Swimming, Water Polo",,Honolulu,HI,77,3|2|0,1912|1920|1924
Amanda Longan,Water Polo,University of Southern California,Moorpark,CA,29,1|0|0,2020|2024
John Mann,Water Polo,"Corona Del Mar High School (Newport Beach Calif.) '03; University of California Berkeley '08 International Relations Foreign Language",Newport Beach,CA,40,0|0|0,2012|2016
Courtney Mathewson,Water Polo,"Canyon High School (Anaheim Hills Calif.) '04; University of California Los Angeles '08 Sociology",Anaheim Hills,CA,39,2|0|0,2012|2016
Merrill Moses,Water Polo,"Peninsula High School (Palos Verdes Calif.) '95; Pepperdine '00 Public Relations",Newbury Park,CA,48,0|1|0,2008|2012|2016
Maddie Musselman,Water Polo,University of California Los Angeles,Newport Beach,CA,27,2|0|0,2016|2020|2024
Ryan Neushul,Water Polo,,Goleta,CA,26,0|0|0,2024
Jamie Neushul,Water Polo,Stanford University,Isla Vista,CA,30,1|0|0,2020
Kiley Neushul,Water Polo,"Dos Pueblos High School (Goleta Calif.) '11; Stanford University '15 Communications",Isla Vista,CA,33,1|0|0,2016
Alex Obert,Water Polo,University of the Pacific,Loomis,CA,34,0|0|1,2016|2020|2024
Tara Prentice,Water Polo,University of California Irvine,Temecula,CA,28,0|0|0,2024
Jordan Raney,Water Polo,Stanford University,Manhattan Beach,CA,29,0|0|0,2024
Alex Roelse,Water Polo,"Winford Stebo High School (Utrecht Netherlands); University of California Los Angeles '18 Business Economics",Westwoods,CA,31,0|0|0,2016
Jewel Roemer,Water Polo,,Martinez,CA,24,0|0|0,2024
Joshua Samuels,Water Polo,"Villa Park High School (Villa Park Calif.) '09; University of California Los Angeles '13 Political Science",Villa Park,CA,34,0|0|0,2016
Melissa Seidemann,Water Polo,Stanford University,Walnut Creek,CA,35,3|0|0,2012|2016|2020
Jovana Sekulic,Water Polo,Princeton University,Haverford,PA,23,0|0|0,2024
Jesse Smith,Water Polo,"Hardin-Simmons University MBA",Coronado,CA,43,0|1|0,2004|2008|2012|2016|2020
Maggie Steffens,Water Polo,Stanford University,Danville,CA,32,3|0|0,2012|2016|2020|2024
Ben Stevenson,Water Polo,University of the Pacific Business,Reno,NV,31,0|0|0,2020
Marko Vavic,Water Polo,"Loyola High School (Los Angeles Calif.); University of Southern California '20 Business",Rancho Palos Verdes,CA,27,0|0|1,2020|2024
Adrian Weinberg,Water Polo,,Los Angeles,CA,24,0|0|1,2024
Alys Williams,Water Polo,University of California Los Angeles '17,Huntington Beach,CA,31,1|0|0,2020
Alex Wolf,Water Polo,University of California,"Huntington Beach, Calif.",CA,29,0|0|0,2020
Dylan Woodhead,Water Polo,Stanford University '20,San Anselmo,CA,27,0|0|1,2020|2024
