name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Jared Arambula,Wheelchair Basketball,"Greenfield-Central High School (Greenfield Ind.); University of Alabama '13 Elementary Education",Valparaiso,IN,36,1|0|0,2016
Josie Aslakson,Wheelchair Basketball,"University of Texas at Arlington; New York University",Jordan,MN,30,0|1|1,2020|2024
Abby Bauleke,Wheelchair Basketball,University of Alabama,Savage,MN,24,0|1|1,2020|2024
Brian Bell,Wheelchair Basketball,DeVry University '19,Birmingham,AL,37,3|0|0,2016|2020|2024
Megan Blunk,Wheelchair Basketball,"Peninsula High School (Gig Harbor Wash.) '08; Tacoma Community College '10 Arts and Sciences; University of Illinois at Urbana Champaign '14 Psychology; University of Illinois at Urbana Champaign '17 Psychology",Gig Harbor,WA,36,1|0|0,2016
John Boie,Wheelchair Basketball,University of Wisconsin-Whitewater,Milton,WI,35,2|0|0,2020|2024
Jennifer Browning,Wheelchair Basketball,"Georgetown University; Oxford University (UK)",,,0,1|0|0,2000|2004
Jen Chew,Wheelchair Basketball,University of Illinois at Urbana-Champaign '05 Anthropology,Littleton,CO,43,0|0|0,
Jennifer Chew,Wheelchair Basketball,University of Illinois,Antioch,CA,43,0|0|0,2012
Patty Cisneros Prevo,Wheelchair Basketball,"Valparaiso University; University of Illinois",Lake Station,IN,,2|0|0,2000|2004|2008
Abby Dunkin,Wheelchair Basketball,"Canyon High School (New Braunfels Texas) '14; University of Texas at Arlington '18 Kinesiology",New Braunfels,TX,30,1|0|0,2016
Kaitlyn Eaton,Wheelchair Basketball,University of Illinois at Urbana Champaign,Houston,TX,31,0|1|1,2020|2024
AJ Fitzpatrick,Wheelchair Basketball,University of Wisconsin-Whitewater,Cedar Rapids,IA,21,1|0|0,2024
Gail Gaeng,Wheelchair Basketball,"University of Illinois (Champaign) Marketing & Management",Frederick,MD,33,1|0|0,2016
John Gilbert,Wheelchair Basketball,"Fairfax High School (Fairfax Missouri) '05; University of Missouri '10; University of Missouri Graduate '11 Secondary Education",Fairfax,MO,39,1|0|0,2016
Loraine Gonzales,Wheelchair Basketball,,Tyler,,0,1|0|0,2008
Ixhelt Gonzalez,Wheelchair Basketball,St. Francis de Sales High School (Chicago Illinois) '22,Chicago,IL,21,0|1|1,2020|2024
Aaron Gouge,Wheelchair Basketball,"Rolesville High School (Wake Forest NC); University of Texas at Arlington '09 Kinesiology",Dallas,TX,40,1|0|0,2016
Susan Hagel,"Para Archery, Wheelchair Basketball, Para Track and Field",University of Illinois,Minneapolis,MN,,4|0|2,1976|1980|1984|1988|1992|1996
Nate Hinze,Wheelchair Basketball,University of Wisconsin-Whitewater,Cedar Grove,WI,37,3|0|1,2012|2016|2020|2024
Carlee Hoffman-Schwarz,Wheelchair Basketball,University of Illinois,Cutlerville,MI,,0|0|0,2004|2008
Rose Hollermann,Wheelchair Basketball,University of Texas at Arlington,Elysian,MN,30,1|1|1,2012|2016|2020|2024
