name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Byron Branch,Wheelchair Fencing,Wright State University,Bellbrook,OH,41,0|0|0,2024
Joey Brinson,Wheelchair Fencing,"Florence High School (Florence Miss.) '18; Hinds Community College",Florence,MS,43,0|0|0,2012|2016
Lauryn DeLuca,Wheelchair Fencing,Ohio State University '22,Parma,OH,26,0|0|0,2016
Ellen Geddes,Wheelchair Fencing,Presbyterian College '10 Religion and Psychology,Aiken,SC,37,0|0|0,2020|2024
Noah Hanssen,Wheelchair Fencing,,Ellicott City,MD,25,0|0|0,2024
Terry Hayes,Wheelchair Fencing,Assistive Technology for Special Populations from Helen A. Keller Institute for Human Disabilities (Post Graduate Certificate),North Fort Myers,FL,67,0|0|0,2020
Victoria Isaacson,Wheelchair Fencing,Stony Brook University,Poughkeepsie,NY,28,0|0|0,2024
Shelby Jensen,Wheelchair Fencing,Salt Lake Community College,Salt Lake City,UT,25,0|0|0,2020
Garrett Schoonover,Wheelchair Fencing,,Sandy,UT,,0|0|0,2024
Jataya Taylor,Wheelchair Fencing,,Aurora,CO,40,0|0|0,2024
Benjy Williams,Wheelchair Fencing,Gwinnett Tech College '01 Information Systems,Monroe,,0|0|0,2008
