name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Sarah Adam,Wheelchair Rugby,,Naperville,IL,,0|1|0,2024
Chuck Aoki,Wheelchair Rugby,Metropolitan State University,Minneapolis,MN,35,0|3|1,2012|2016|2020|2024
Clayton Brackett,Wheelchair Rugby,University of Alabama (Birmingham),Irvine,CA,33,0|1|0,2024
Josh Brewer,Wheelchair Rugby,Battle Ground High School (Battle Ground Wash.) '15,Battle Ground,WA,30,0|1|0,2016
Jeff Butler,Wheelchair Rugby,University of Texas - Austin,Fort Wayne,IN,35,0|3|0,2016|2020|2024
Joe Delagrave,Wheelchair Rugby,"Prairie du Chien High School (Prairie du Chien Wisc.) '03; Winona State University '05 General Studies; University of Northwestern - St. Paul '09 Pastoral Studies; Grand Canyon University '15 Professional Counseling",Prairie du Chien,WI,41,0|1|1,2012|2020
Lee Fredette,Wheelchair Rugby,University of Miami,East Moriches,NY,43,0|3|0,2016|2020|2024
Ray Hennagir,Wheelchair Rugby,University of Texas at Arlington,Deptford,NJ,39,0|1|0,2020
Brad Hudspeth,Wheelchair Rugby,,Stilwell,KS,37,0|1|0,2024
Joe Jackson,Wheelchair Rugby,Arizona State University,Maricopa,AZ,36,0|1|0,2020
Bryan Kirkland,Wheelchair Rugby,,Leeds,,54,2|0|1,2000|2004|2008
Seth McBride,Wheelchair Rugby,"Juneau-Douglas High School (Juneau Alaska) '01; University of Oregon '06 International Studies and Political Science; Portland State University '12 MFA Non-Fiction Writing",Juneau,AK,43,1|1|1,2008|2012|2016
Chuck Melton,Wheelchair Rugby,Southern Illinois University Carbondale,Richview,IL,47,0|3|0,2016|2020|2024
Eric Newby,Wheelchair Rugby,Maryville University of St. Louis,Nashville,IL,38,0|3|0,2016|2020|2024
Josh O'Neill,Wheelchair Rugby,University of Arizona,Colorado Springs,CO,38,0|1|0,2024
Kory Puderbaugh,Wheelchair Rugby,Eagle High School,San Diego,CA,30,0|2|0,2016|2020
Zion Redington,Wheelchair Rugby,,Birmingham,AL,19,0|1|0,2024
Jason Regier,Wheelchair Rugby,"George Washington High School (Denver Colo.) '93; Oregon State University '97 Philosophy; University of Colorado Denver '04 Business Administration",Centennial,CO,51,1|1|1,2008|2012|2016
Adam Scaturro,Wheelchair Rugby,Colorado State University Sports Medicine,Lakewood,CO,47,0|2|1,2012|2016|2020
Mason Symons,Wheelchair Rugby,,Hershey,PA,37,0|1|0,2024
Josh Wheeler,Wheelchair Rugby,Days Creek High School,Tucson,AZ,46,0|3|0,2016|2020|2024
