name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Steve Baldwin,Wheelchair Tennis,Katy High School (Katy Texas) '89; Southwestern University '95 English and History; San Diego State University '08 Masters in English,San Diego,CA,54,0|0|0,2012|2016
Shelby Baron,Wheelchair Tennis,University of Alabama,Honolulu,HI,31,0|0|0,2016|2020
Bryan Barten,Wheelchair Tennis,University of Arizona,Hart,MI,52,0|0|0,2012|2016|2020
Emmy Kaiser,Wheelchair Tennis,Ball State University,Ft. Mitchell,KY,35,0|0|0,2012|2016|2020
Dana Mathewson,Wheelchair Tennis,University College London,San Diego,CA,35,0|0|0,2016|2020|2024
Maylee Phelps,Wheelchair Tennis,,Portland,OR,19,0|0|0,2024
Casey Ratzlaff,Wheelchair Tennis,Wichita State University,Wichita,KS,27,0|0|0,2020|2024
Jon Rydberg,Wheelchair Tennis,Pine City High School (Pine City Minn.) '96; University of Texas at Arlington '01 Graphic Design,Pine City,MN,48,0|0|0,2004|2008|2012|2016
Randy Snow,"Wheelchair Basketball, Wheelchair Tennis",Terrell High School (Terrell Texas); University of Texas at Austin,Terrell,TX,50,2|0|1,1992|1996|2000
Conner Stroud,Wheelchair Tennis,Thomas Jefferson Classical Academy,Rutherfordton,NC,26,0|0|0,2020|2024
Nick Taylor,Wheelchair Tennis,Wichita West High School (Wichita Kan.) '98; Wichita State University '04 Management Information Systems; Wichita State University '05 Sports Management; Wichita State University '07 Master's Degree in Sports Management,Wichita,KS,46,3|1|1,2004|2008|2012|2016
David Wagner,Wheelchair Tennis,Devry/Keller University,Walla Walla,WA,52,3|3|2,2004|2008|2012|2016|2020|2024
