name,sport,education,hometown_city,hometown_state,age,medals_gold_silver_bronze,years_represented
Bruce Baumgartner,Wrestling,Manchester Regional High School (Haledon NJ); Indiana State University; Oklahoma State University,Haledon,NJ,65,2|1|1,1984|1988|1992|1996
Kamal Bey,Wrestling,,Bellwood,IL,28,0|0|0,2024
Kennedy Blades,Wrestling,Arizona State University,Chicago,IL,22,0|1|0,2024
Aaron Brooks,Wrestling,Penn State University,Hagerstown,MD,25,0|0|1,2024
Jordan Burroughs,Wrestling,University of Nebraska-Lincoln,Sicklerville,NJ,37,1|0|0,2012|2016
Kelsey Campbell,Wrestling,Arizona State,Milwaukie,OR,40,0|0|0,2012
Adam Coon,Wrestling,University of Michigan,Fowlerville,MI,31,0|0|0,2024
Kyle Dake,Wrestling,Cornell University,"Cornell University, NY",35,0|0|2,2020|2024
Amit Elor,Wrestling,Diablo Valley College,Walnut Creek,CA,22,1|0|0,2024
Adeline Gray,Wrestling,"Keller Graduate (2018-2020); DeVry University (2011-2016); University of Colorado Colorado Springs (2009-2011)",Denver,CO,35,0|1|0,2016|2020
Sam Hazewinkel,Wrestling,"Pensacola Christian Academy; Oklahoma",Norman,,43,0|0|0,2012
Sarah Hildebrandt,Wrestling,King University,Granger,IN,32,1|0|1,2020|2024
Payton Jacobson,Wrestling,Northern Michigan,Elkhorn,WI,23,0|0|0,2024
Spencer Lee,Wrestling,University of Iowa,Murrysville,PA,27,0|1|0,2024
Spenser Mango,Wrestling,Northern Michigan University,,,0|0|0,2008|2012
Helen Maroulis,Wrestling,Simon Fraser University,Rockville,MD,34,1|0|2,2016|2020|2024
Kayla Miracle,Wrestling,Campbellsville University,Bloomington,IN,30,0|0|0,2020|2024
Mason Parris,Wrestling,University of Michigan,Lawrenceburg,IN,26,0|0|0,2024
Dominique Parrish,Wrestling,Simon Fraser University,Scotts Valley,CA,29,0|0|0,2024
Josef Rau,Wrestling,Elmhurst College,Chicago,IL,35,0|0|0,2024
Zain Retherford,Wrestling,Pennsylvania State University,Benton,PA,30,0|0|0,2024
Doug Schwab,Wrestling,"Osage High School; Iowa",Osage,,48,0|0|0,2008
Coleman Scott,Wrestling,Central High School (Waynesburg Pa.),Waynesburg,PA,40,0|0|1,2012
Kyle Snyder,Wrestling,Ohio State University,Silver Spring,MD,,0|0|0,2016|2020|2024
Gable Steveson,Wrestling,University of Minnesota,Apple Valley,MN,25,1|0|0,2020
David Taylor,Wrestling,Penn State,Graham,OH,35,1|0|0,2020
Jake Varner,Wrestling,Iowa State University '10 Criminal Justice,Bakersfield,,40,1|0|0,2012
